Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Asking people to stay at home and avoid gathering in groups 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",5.6,8.2,23.8,62.4,0.9,21138
"AK",4,10.1,28.3,57.5,13.4,121
"AL",7.6,7.7,30.2,54.5,5.4,517
"AR",10.4,8.6,26.3,54.7,6.4,387
"AZ",4.5,6.2,25.5,63.8,5.7,464
"CA",5.4,4.6,18,72,4,807
"CO",11.2,11.3,26.3,51.2,5.5,476
"CT",2,5.8,23.1,69.1,5.3,413
"DC",0,2.7,14.2,83.1,6.8,235
"DE",3.1,6.6,20.2,70,7.3,279
"FL",4.3,6.5,21.4,67.8,4.5,579
"GA",6.5,9.8,20.5,63.2,4.7,601
"HI",2.3,4.5,22.1,71.1,7.7,257
"IA",5.1,11.3,29.7,53.9,7.5,249
"ID",17.6,7.9,26,48.5,7.9,267
"IL",6.3,7.4,21.4,64.9,4.6,506
"IN",8.1,9.4,24.2,58.3,5.3,464
"KS",6.2,15.9,28.2,49.8,5.9,432
"KY",6.8,10.6,25.1,57.6,5.2,510
"LA",5.8,7.8,24.6,61.9,6.3,442
"MA",3.5,5.5,22.1,68.8,4.5,601
"MD",3.4,6.8,21.3,68.4,4.6,537
"ME",5.2,8.1,28.2,58.6,6.9,286
"MI",5.4,9.7,21.8,63,4.9,581
"MN",7.4,9.4,27.4,55.8,5.3,528
"MO",7.5,12.6,25.1,54.8,5.3,507
"MS",4.2,6.5,30.7,58.6,7.3,401
"MT",7.6,8.3,29.4,54.7,8.4,210
"NC",4,8.8,25.5,61.8,4.6,518
"ND",4.3,18,32.8,45,9,185
"NE",11.3,10.3,28,50.4,7.3,305
"NH",6.6,8.7,24,60.7,8.1,202
"NJ",3.7,4.9,22.3,69.2,4.6,514
"NM",4.3,8.9,25,61.8,7.7,312
"NV",8.3,8.3,24,59.4,6.2,434
"NY",1.9,8,24.8,65.3,4.6,617
"OH",6.4,10.6,26.6,56.3,4.8,517
"OK",8.6,8.9,27.1,55.3,5.8,485
"OR",9.1,12.4,20.5,58,5.5,472
"PA",7,10.2,27.8,55,5.1,508
"RI",4.6,6.3,21.3,67.8,7.8,255
"SC",6.5,4.7,27.6,61.2,5.8,449
"SD",9.7,14.1,30.9,45.3,10.1,182
"TN",6.2,10.4,27.4,56,5,498
"TX",4.1,4.9,20.3,70.7,4.2,637
"UT",11.3,11.5,25.4,51.8,7.6,270
"VA",5,9.1,18.1,67.8,4.6,542
"VT",4.6,17,18.9,59.6,10.6,131
"WA",4.5,7.7,25.5,62.4,5.1,488
"WI",6.5,12.4,29.7,51.4,5.4,449
"WV",3.8,11.4,24.8,60,7.1,369
"WY",9.3,14.6,32.6,43.4,11.2,142
