Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Cancelling major sports and entertainment events 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",7,10.7,21.5,60.8,0.9,21131
"AK",13.3,10.2,16.3,60.2,13.1,122
"AL",10.4,14.4,24.8,50.5,5.5,517
"AR",9.7,11.6,25,53.7,6.4,386
"AZ",7.8,7.5,21.3,63.5,5.7,463
"CA",5.6,6.1,19.1,69.2,4.1,807
"CO",12.6,12,21.8,53.7,5.5,474
"CT",3.2,8.9,18.6,69.3,5.3,413
"DC",3,6.8,16.6,73.5,8,235
"DE",4.7,11.7,18.6,65.1,7.6,277
"FL",6.1,8,22.4,63.5,4.6,578
"GA",7.1,11.5,19.4,62.1,4.7,601
"HI",5.8,4.2,18.1,71.9,7.7,256
"IA",7.3,16.4,27.1,49,7.5,250
"ID",14.6,14.6,19.1,51.7,8,265
"IL",9.1,8.8,20.9,61.2,4.7,507
"IN",10.3,11.4,22.1,56.2,5.3,463
"KS",8.3,13.3,27.3,51.1,5.9,434
"KY",6.7,12.2,22.8,58.3,5.2,511
"LA",9.1,7.8,22.9,60.2,6.3,441
"MA",4.3,6.8,22.6,66.3,4.6,602
"MD",3.6,6.6,21,68.9,4.6,535
"ME",5.4,11.9,21.2,61.4,6.8,285
"MI",6,10.6,23,60.4,5,581
"MN",7.5,10.9,22.4,59.1,5.2,527
"MO",11.2,9.2,27.9,51.7,5.3,508
"MS",5.3,9.6,22.7,62.4,7.2,400
"MT",9.1,12.9,19.4,58.6,8.3,209
"NC",6.9,9.7,19.9,63.5,4.6,519
"ND",7.6,14.8,33.3,44.4,9,185
"NE",14.9,16.2,24.7,44.2,7.2,305
"NH",8.7,6.4,23,61.9,8.1,202
"NJ",3.8,8.8,19.2,68.2,4.6,514
"NM",9.3,13.7,18.2,58.8,7.8,312
"NV",10,9.9,21.1,59,6.2,436
"NY",3.2,10.5,23.7,62.6,4.7,615
"OH",9.3,11.5,25.6,53.6,4.8,516
"OK",9.3,11.4,22.1,57.2,5.8,486
"OR",10.5,14.6,18.4,56.4,5.6,472
"PA",8,13.2,21.1,57.7,5,510
"RI",4.4,8.6,18.1,69,7.7,255
"SC",6.2,11.3,22.5,60,5.8,446
"SD",20.4,10.5,18.8,50.4,10.1,183
"TN",9,14.5,22.7,53.7,5,499
"TX",6.4,8.3,20.6,64.6,4.4,636
"UT",14.2,17.7,15,53.1,7.6,271
"VA",5.5,9.4,22.2,62.9,4.7,541
"VT",3.9,17.1,17,62,10.5,131
"WA",5,10.4,19.9,64.6,5,488
"WI",8.9,12.2,19.2,59.7,5.3,449
"WV",6.7,13.3,22.9,57,7.1,371
"WY",12.9,14.6,26.8,45.7,11.3,142
