How concerned, if at all, do you currently feel about the following: - Problems staying connected  with friends and family 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",21.4,25.2,29.1,20.8,3.5,0.8,21119
"AK",23.9,29.5,25.2,19.4,2,12.1,123
"AL",20.2,22.9,31.6,20.8,4.4,5.1,516
"AR",24.4,29.6,22.9,19.4,3.7,5.9,385
"AZ",22.8,24.8,26.6,20.3,5.6,5.2,462
"CA",19.3,22.8,33.9,21.7,2.4,4.2,807
"CO",26.7,23.2,26.3,21.1,2.8,4.8,474
"CT",19,23.3,34,20.9,2.8,5.5,411
"DC",13,21.5,33.2,28.3,4,8.6,234
"DE",19.7,25.1,32,20.6,2.6,7.4,279
"FL",22.5,22.7,28.7,22.9,3.2,4.3,580
"GA",22.4,24,24.7,25.6,3.3,4.2,599
"HI",21.2,22.6,29.8,23.3,3.2,7.8,257
"IA",25.4,30.2,28.7,15,0.7,6.9,249
"ID",20.4,25,33.8,17.7,3.1,7.5,267
"IL",22.9,23.3,26.1,23.5,4.1,4.2,507
"IN",28.8,26.3,26.8,13.4,4.7,4.9,463
"KS",23.6,28.3,27.7,17.4,3,5.3,435
"KY",23.4,26.1,29.3,18.9,2.2,4.8,509
"LA",20.5,21.6,30.7,22.2,5,6,440
"MA",20.7,25.8,29.9,21.8,1.9,4.5,598
"MD",16.1,30.3,31.3,21.1,1.2,4.6,537
"ME",20.3,29.9,29.4,18.1,2.3,6.4,285
"MI",20.1,27.4,30.8,17,4.7,4.7,580
"MN",24.1,26.5,28.6,18.9,1.9,4.8,527
"MO",24,25,30.5,16.8,3.7,4.9,507
"MS",19.5,26.9,22.9,26.1,4.7,6.6,396
"MT",27.1,29.5,26.6,14.3,2.5,7.7,209
"NC",26.1,21.9,31.5,17.6,2.9,4.4,521
"ND",25,28.6,28.9,14.2,3.4,8.2,185
"NE",29.6,24.1,23.3,17.1,5.9,6.6,304
"NH",19.8,28.3,32.5,16.6,2.8,7.8,201
"NJ",19.6,26.6,29.4,21.7,2.7,4.5,515
"NM",22.3,24.4,29,22.5,1.8,7.2,313
"NV",21,27.2,21.1,27.5,3.2,5.6,437
"NY",19.2,21.8,32.2,21.7,5.1,4.6,617
"OH",23.1,26.1,26.8,19.8,4.2,4.3,515
"OK",21.8,23.9,29.1,19.7,5.4,5.3,486
"OR",21.9,28.6,29.8,16,3.6,5.2,470
"PA",24.4,24.2,32.1,15.6,3.7,4.7,510
"RI",22.1,22.3,28.6,22.5,4.6,7.6,254
"SC",26.2,23.5,29.4,17,3.9,5.4,451
"SD",22.8,28.1,23.2,21.8,4.1,9.1,182
"TN",21.1,27.1,25.2,22.4,4.2,4.5,498
"TX",20.9,22.9,27.4,23.8,5,4.1,638
"UT",23.4,26.5,31.5,17.3,1.3,7,271
"VA",21,28.4,25.9,22.1,2.6,4.4,541
"VT",21.1,27.1,29.7,19.9,2.3,9.9,131
"WA",23,25.4,31.3,16.2,4.1,4.9,485
"WI",20.6,30.9,30.8,15.6,2.1,5,448
"WV",23.4,25.4,22.4,23.3,5.6,6.3,368
"WY",25.1,30.2,22.9,13.5,8.3,10.4,142
