How concerned, if at all, do you currently feel about the following: - Family members getting coronavirus 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",7.5,13,30.2,47.6,1.6,0.9,21121
"AK",9.1,20.6,16.1,53.2,1,13.5,121
"AL",9.5,10.8,29.2,48.9,1.7,5.5,516
"AR",7.1,13.2,30.4,46.8,2.6,6.4,388
"AZ",9,13.8,29.8,44.8,2.6,5.9,463
"CA",5.8,10.1,30.8,51.7,1.6,4.4,804
"CO",12.2,15.7,28.7,42.2,1.1,5.4,469
"CT",5.3,8,37.7,47.8,1.2,5.8,411
"DC",6.5,8.1,28.5,55,1.9,9.1,234
"DE",6.9,15,28,49.6,0.5,8,279
"FL",9.1,11.8,24.9,52.4,1.8,4.8,580
"GA",7,12.2,27.4,51,2.4,4.9,600
"HI",5,9.8,21.8,60.6,2.7,8.3,256
"IA",6.7,14.6,37.1,40.2,1.4,7.3,251
"ID",16.8,10.1,24.2,46.9,2,7.9,267
"IL",10.6,10.9,29.2,47.6,1.6,4.8,506
"IN",9.2,14.7,31.3,43.3,1.4,5.3,462
"KS",7.8,14.5,35.1,41.9,0.6,5.8,436
"KY",7.5,13.7,37.3,40.2,1.3,5.2,510
"LA",6.4,15.2,28.8,48.4,1.3,6.5,440
"MA",6.2,9.6,30.6,50.9,2.6,4.9,602
"MD",5.3,11,32.4,51,0.2,5,538
"ME",11.2,13.7,33.6,40,1.5,6.9,285
"MI",8.3,12.4,35.4,42.1,1.9,5,580
"MN",8,17.4,33.3,40.2,1.1,5.2,527
"MO",9.9,14.5,35.5,38.9,1.2,5.2,508
"MS",3.6,11.2,32.1,49,4.1,7.4,399
"MT",9.1,13.7,38.6,36.6,2.1,8.3,208
"NC",5.2,16.1,29.1,48.1,1.4,4.8,520
"ND",13.7,16.5,30.7,36,3,8.7,185
"NE",9.8,16.4,29.8,40.3,3.7,7.1,305
"NH",5.4,18.9,24.4,51.3,0,8.3,202
"NJ",3.5,11,30.3,52.6,2.5,4.9,514
"NM",9.1,10.9,27.5,51.6,0.8,7.9,311
"NV",11,10.4,26.6,49.9,2.1,6.3,436
"NY",7.1,11.9,28.3,50.5,2.2,4.9,617
"OH",6.7,14,31.6,45.6,2,4.8,516
"OK",8.2,11.2,29.6,48.8,2.2,5.9,484
"OR",12,16.7,28.8,40.2,2.3,5.5,471
"PA",8.1,13.9,34.4,42.2,1.4,5,510
"RI",2.7,8.7,36.2,48.7,3.7,8.4,255
"SC",8.9,12.8,27,50.1,1.2,5.9,452
"SD",10.7,12.9,33.1,37.2,6,9.8,183
"TN",9.1,16.8,24.7,46.5,2.9,5,497
"TX",4.1,11.3,31.4,51.3,2,4.6,637
"UT",11.6,22,28.7,37.2,0.4,7.3,271
"VA",8.9,11.1,29.9,49.5,0.6,4.9,541
"VT",9.2,20.6,30.3,39.5,0.3,10.7,129
"WA",6.1,16.5,30.7,45,1.8,5.2,488
"WI",8.8,15.4,32.6,41.9,1.2,5.3,445
"WV",9.1,13.9,25.7,50.8,0.5,7.2,370
"WY",10,23.3,28.9,35.3,2.5,10.8,142
