Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Restricting travel within the U.S. 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",9.7,15.3,31.5,43.4,0.9,21069
"AK",8.6,12.5,33.2,45.8,13.3,123
"AL",12.7,16.3,34.5,36.5,5.2,517
"AR",12.2,19.1,24.6,44.1,6.4,386
"AZ",7.8,18.2,33.3,40.7,5.8,463
"CA",9.5,11.6,27.5,51.5,4.4,804
"CO",17.2,17.1,34.5,31.3,5.2,475
"CT",4.2,14.2,27.8,53.8,5.8,411
"DC",3.7,6.3,45.4,44.6,9,235
"DE",8.3,16.5,29,46.2,8,277
"FL",8.2,14.8,30.9,46.1,4.8,577
"GA",9.4,15.5,32.6,42.5,4.8,602
"HI",2.8,10,27.6,59.5,8.4,256
"IA",11,25.2,29.9,33.9,7.1,250
"ID",17.4,18.9,35.1,28.6,7.6,266
"IL",11.1,12.8,31.2,44.8,4.7,508
"IN",12.2,14.1,33.8,40,5.3,461
"KS",14.3,20.7,30.5,34.5,5.6,434
"KY",11,16.3,31.6,41.2,5.2,503
"LA",11.4,13,33.4,42.2,6.4,441
"MA",6.1,11.2,34.7,48.1,4.9,596
"MD",4.7,13.4,35.5,46.3,5,532
"ME",6.8,16.1,31.4,45.7,7,285
"MI",10.1,16.9,34.8,38.3,4.9,580
"MN",10.5,17.4,33.8,38.4,5.2,528
"MO",12.4,16.4,32.9,38.3,5.2,508
"MS",10.4,15.2,25,49.3,7.4,398
"MT",12,15.7,34.4,37.9,8.2,209
"NC",7.8,14.4,32.3,45.5,4.8,518
"ND",13.9,19.6,39,27.5,8.9,184
"NE",18.1,16.5,30.9,34.5,6.9,304
"NH",12.6,14.5,31.8,41.1,8.2,202
"NJ",4.9,10.3,32.3,52.4,5,511
"NM",10.2,18.2,26.7,44.9,7.9,309
"NV",11.8,16.2,29.8,42.1,6.2,433
"NY",5.4,13.7,34,46.9,4.9,612
"OH",11.4,16.3,33,39.3,4.7,513
"OK",13.7,14.8,30.4,41.1,5.8,484
"OR",15.1,19.4,29.1,36.3,5.4,470
"PA",10.9,14.7,31.1,43.4,5.1,508
"RI",8.2,15.1,31.7,45.1,8.3,255
"SC",8.8,17.4,28.6,45.2,5.9,447
"SD",22.5,14.4,33.9,29.2,9.6,182
"TN",12,22.2,29.8,36,4.8,497
"TX",9,13.9,28.5,48.6,4.6,636
"UT",19.3,22.1,26.4,32.2,7.1,271
"VA",8,15.5,30.5,46,4.9,538
"VT",1.3,12.9,47.4,38.4,11,128
"WA",10.2,13.8,34.1,41.8,5.2,485
"WI",12.1,15.6,37.4,34.9,5.2,447
"WV",6.7,16.4,25.4,51.6,7.2,369
"WY",15.4,27.1,29.9,27.6,10.4,141
