Education recoded for weighing 
"","Some high school","High School Graduate","Some College","Bachelor Degree","Graduate Degree","Error Margin","N"
"National",9.4,27.6,31.6,19.5,11.9,0.8,21196
"AK",7.5,29.1,37.1,17.3,9.1,12.9,123
"AL",10.4,31.9,32.7,16,8.9,5.1,519
"AR",10.3,35.3,32.5,14.3,7.5,6.1,388
"AZ",9.7,25.5,36,18.4,10.5,5.7,464
"CA",6.3,23.2,34.2,23.4,13,4.2,808
"CO",7.4,22,31.1,25.3,14.1,5.1,476
"CT",4.2,27.1,28.7,23.2,16.8,5.2,414
"DC",5.5,18.6,17.6,26.4,31.9,8.5,236
"DE",7.5,33.2,28.7,18.3,12.3,7.5,279
"FL",9.1,29.7,31.6,19.1,10.6,4.4,580
"GA",7.6,29.4,31.2,19.9,11.8,4.5,602
"HI",8.2,26.6,33.2,21.1,10.8,8,257
"IA",7.5,30.4,34.7,19.1,8.3,7.1,252
"ID",9.8,24.7,38.8,18.2,8.4,7.7,267
"IL",5.1,27.5,32,21.9,13.5,4.5,508
"IN",8.8,33.1,31.7,17.2,9.2,5.1,464
"KS",7.8,26.2,34.1,20.2,11.7,5.5,436
"KY",11.5,33.4,31.5,14.3,9.2,5,512
"LA",12.1,34.5,30.1,15.4,7.8,6.1,442
"MA",6.5,24.5,25.2,25.2,18.6,4.2,603
"MD",7.1,24.3,28.7,21.9,18,4.5,538
"ME",5,32.2,32.1,20.1,10.6,6.5,287
"MI",6.6,29.2,35.4,18,10.8,4.8,581
"MN",6.1,24.3,34.5,23.6,11.4,5,528
"MO",5.4,31.8,33.3,18.7,10.7,5,509
"MS",13.7,29.9,35.2,14.4,6.8,7.1,401
"MT",6,28.5,35.6,20,9.9,8.1,210
"NC",3.4,27.7,35.9,21.7,11.4,4.6,521
"ND",7,26.7,38.7,21,6.6,8.9,185
"NE",8.1,25.8,35.5,20.7,9.9,7,306
"NH",5,28.6,30.9,22.1,13.3,7.7,202
"NJ",4.5,27.6,27.1,26.4,14.4,4.4,515
"NM",10,25.3,36.5,16.1,12.2,7.6,313
"NV",11.1,29.1,35.7,15.9,8.2,6,437
"NY",10,26.2,27.3,21.4,15.2,4.4,618
"OH",8.2,33.1,31,17.6,10.1,4.5,518
"OK",10.9,31.5,33.5,16.1,8,5.5,486
"OR",9.3,23.4,36.3,19.5,11.5,5.4,472
"PA",7.3,35.4,26.8,18.8,11.8,4.8,512
"RI",9.6,29.9,27.9,19.2,13.3,7.7,255
"SC",10.6,30.2,32.5,17.3,9.4,5.5,452
"SD",8.1,29.7,34.1,19.8,8.2,9.5,184
"TN",10.3,32.7,30.9,16.9,9.2,4.7,499
"TX",9.1,27.8,32.9,19.9,10.2,4.3,639
"UT",7.5,22,38.4,21.6,10.5,7.4,271
"VA",7.7,25.2,29.4,22.2,15.4,4.4,543
"VT",6.7,29.2,29.4,22.5,12.3,9.9,131
"WA",7.5,22.9,35,22,12.7,5,489
"WI",6.5,31,33.9,19.3,9.4,5.1,450
"WV",11.8,38.6,28.9,12.8,7.9,7,372
"WY",7.9,28.6,38.4,16.2,8.9,11,142
