How concerned, if at all, do you currently feel about the following: - Getting coronavirus yourself 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",12.2,18.6,33.3,34.5,1.4,0.8,21155
"AK",15.4,21.8,26.7,33.9,2.3,12.6,123
"AL",17.4,15.1,31,35.4,1.1,5.2,516
"AR",13.3,22.8,34.5,27.9,1.5,6.1,388
"AZ",12,18.4,33.2,33.8,2.5,5.6,463
"CA",8.9,16.1,33.1,41,1,4.3,806
"CO",18.1,21.8,30.6,28.3,1.1,5,475
"CT",9.6,14.3,40.1,35.8,0.2,5.6,413
"DC",7.1,10.9,27.3,53.6,1.2,9.1,235
"DE",8.3,22.6,29.9,38.3,0.9,7.8,278
"FL",10.7,14.7,29.5,43.4,1.7,4.7,579
"GA",12.5,15.4,29.4,39.4,3.4,4.8,600
"HI",8.8,15.6,26.1,49.1,0.4,8.5,256
"IA",12.4,22.7,43.7,20.5,0.8,7.4,251
"ID",22.9,17.8,31.9,26.8,0.6,7.4,267
"IL",11.8,15.7,31.9,38.8,1.8,4.6,508
"IN",16.4,20.7,34.9,26.4,1.6,5.1,464
"KS",14.2,19.1,37.5,28.2,1.1,5.7,435
"KY",14.2,20.1,38.9,25.1,1.7,5.1,512
"LA",12.2,19.2,28.4,39,1.3,6.3,441
"MA",10,14.2,38.1,36.4,1.2,4.7,603
"MD",8.9,15.6,39.8,35.6,0.1,4.9,538
"ME",16.7,17.1,37.2,28.4,0.7,6.7,286
"MI",11.7,20.3,38.6,27.9,1.5,4.9,580
"MN",14.8,21.7,37.7,25,0.8,5.2,525
"MO",17.2,21.7,34.3,26.6,0.2,5.1,509
"MS",11.4,20.8,28.3,36.6,2.9,7.1,398
"MT",18.4,28,31.6,21.3,0.7,7.8,210
"NC",8.9,20.4,33.8,35.7,1.2,4.6,521
"ND",18.8,24,35.9,18.3,3,8.7,184
"NE",19.8,25.4,28,25.6,1.1,6.5,306
"NH",13.1,20.7,33.1,33.2,0,7.9,202
"NJ",8.4,14.5,30.6,44.2,2.2,4.9,514
"NM",12.2,16.6,34.2,35.5,1.4,7.6,312
"NV",15.3,17,30.1,36.6,1,6,437
"NY",9.9,17.1,33,38.1,1.9,4.7,618
"OH",12.4,19.2,34.7,32.3,1.4,4.6,516
"OK",13.7,19,34.9,31.6,0.9,5.6,485
"OR",17.7,22.9,31,26.3,2.2,5.2,472
"PA",14.3,21.9,31.7,31.6,0.5,4.7,511
"RI",11.6,15.4,39.1,30.9,3,8.1,254
"SC",16.6,18.9,30.4,32.1,2,5.5,451
"SD",20.3,17.5,29.3,29.1,3.8,9.2,183
"TN",13.1,21,29.3,34.2,2.3,4.8,499
"TX",8,18,32.3,39.8,1.9,4.5,638
"UT",20,26.4,31.2,21.7,0.7,7,271
"VA",11.6,18.1,31.7,37.2,1.4,4.7,541
"VT",13.5,28.5,34.7,23.3,0,10.3,131
"WA",9.8,22.2,39,27.6,1.4,5.1,488
"WI",15.5,23.3,34.7,25.6,0.9,5.1,449
"WV",14.5,23.4,25.4,36.1,0.6,6.9,371
"WY",22.3,27.9,23.8,23.6,2.5,10.2,142
