How concerned, if at all, do you currently feel about the following: - Problems with your education or the education of your children 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",7.9,9,17.7,24.9,40.5,0.9,21108
"AK",7.1,12.9,11.4,41.4,27.2,13.1,123
"AL",9.6,11.2,14.3,27.5,37.5,5.3,518
"AR",11.4,8.8,16.7,22,41.2,6.3,384
"AZ",6.2,9.4,17.4,22.9,44.1,5.9,464
"CA",5.3,9.1,22.5,25.9,37.2,4.3,806
"CO",12.5,8,18.5,21.8,39.2,5.3,473
"CT",8.5,7.2,14.7,26.9,42.7,5.7,410
"DC",3,11.9,13,38.4,33.6,8.9,233
"DE",5.4,11.3,20.2,25,38.1,7.7,279
"FL",8.1,7,15.4,26.9,42.5,4.7,577
"GA",7.9,7.6,18.4,27.8,38.3,4.7,599
"HI",8.3,9.5,13.1,30.9,38.2,8.3,257
"IA",9.6,12.6,18.9,21.9,37,7.3,249
"ID",8.7,9.4,19,23.1,39.8,7.8,266
"IL",9.7,7.5,14.2,27.6,41,4.7,507
"IN",9.2,7.4,22.2,17.7,43.5,5.3,463
"KS",6.7,11.1,16.1,23.7,42.4,5.8,436
"KY",7.9,9.7,18.9,25.8,37.7,5.1,510
"LA",9.8,9.5,18.9,25.9,35.8,6.3,436
"MA",8.7,8.1,19.1,25.4,38.8,4.8,598
"MD",6.5,10.1,17.6,27.9,37.9,4.8,538
"ME",5.8,8.8,14.8,21.7,49,7,285
"MI",7.5,9.1,15.2,22.6,45.6,5,580
"MN",8,13.4,15,20.9,42.7,5.3,526
"MO",9.6,10.4,16.3,23,40.7,5.3,505
"MS",9,10.3,19.3,29.1,32.2,7,396
"MT",6.2,7.2,14.6,19.4,52.6,8.4,210
"NC",6.5,7.4,16.5,22.4,47.1,4.8,518
"ND",7.4,6.9,22.9,16.8,46.1,9.1,185
"NE",5.5,12.9,17.6,22.4,41.6,7.2,305
"NH",4.7,6.1,17.8,27.5,43.9,8.3,201
"NJ",6.7,9.1,15.7,29.4,39.1,4.8,513
"NM",6.5,7.8,13.6,28.2,43.8,7.8,312
"NV",8.7,7.7,10.6,29.6,43.4,6.2,437
"NY",8.3,10.4,17.3,26,38,4.7,617
"OH",11.4,9.1,16.6,19.7,43.2,4.7,518
"OK",9.6,12,20,24.1,34.2,5.6,486
"OR",7.5,9.2,16.3,25.4,41.6,5.6,469
"PA",12.8,7.5,16,21,42.7,5,510
"RI",4,9.2,15.1,20.3,51.3,8.4,254
"SC",7.8,10.4,15.8,22.6,43.4,5.9,450
"SD",7,8.7,18.8,23.9,41.6,10,183
"TN",8,7.6,17.6,21.6,45.2,5,498
"TX",7.4,7.3,20.9,27.5,36.9,4.5,633
"UT",10.9,12.9,21.2,23.7,31.3,7,271
"VA",5.3,10.2,22.1,26.6,35.8,4.7,543
"VT",4.3,6.7,19,18,52,10.9,130
"WA",6.2,8.4,20.5,22.7,42.2,5.2,487
"WI",9,6.1,21,17.8,46.1,5.4,448
"WV",5.5,7.6,17.7,25.5,43.7,7.1,370
"WY",8.8,12.8,16.3,17.3,44.7,11.3,142
