Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Limiting restaurants to carry-out only 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",2.5,6.1,23.3,68.1,0.9,19335
"AK",3.7,5.1,19.7,71.6,13,91
"AL",1.6,3.9,26.7,67.8,5.4,414
"AR",2.5,7.9,27.3,62.3,5.9,421
"AZ",5.4,9.3,24,61.3,5.5,436
"CA",2.5,5.6,22,69.9,4.6,715
"CO",6.5,6,28.4,59.2,5.5,442
"CT",0.9,4.6,20.8,73.7,5.5,321
"DC",1.4,4.6,20.6,73.4,11.4,100
"DE",0.3,5.8,26.6,67.3,7.2,302
"FL",3.5,7,20.3,69.2,5,519
"GA",2,3.5,25.1,69.4,5,457
"HI",4,7.6,21.3,67.2,7.4,242
"IA",3.5,6.9,27.8,61.7,5.5,433
"ID",4.1,8.2,32.7,55,6.6,320
"IL",3.8,6.7,24.1,65.4,5.4,470
"IN",3.1,7.2,18.2,71.5,5,449
"KS",1.6,8.1,20.2,70,5.6,441
"KY",1.4,3.6,21.5,73.6,4.8,423
"LA",4.6,5.3,18.2,71.9,5.6,415
"MA",1.3,4.2,21.8,72.7,4.7,436
"MD",1.2,2.6,22.1,74.2,5.6,367
"ME",3.4,5.2,15.9,75.5,5.3,317
"MI",2.5,7.2,20.3,70,4.7,478
"MN",2.5,9.9,25.6,61.9,5.2,440
"MO",2.9,9.5,27.5,60.1,5.3,424
"MS",1.6,7,23.6,67.8,6.3,380
"MT",3.3,8.3,27.1,61.3,7.5,213
"NC",3.6,5.1,25.6,65.7,4.9,448
"ND",7,7.6,27.3,58.1,11,163
"NE",0.9,8.3,24.7,66.2,6.5,329
"NH",2.5,6.7,19.6,71.2,5.9,351
"NJ",1.9,4.1,19.7,74.3,4.7,473
"NM",8.2,2.7,22.2,66.9,12.5,121
"NV",3,6.6,25.8,64.6,5.9,431
"NY",1.7,3.2,22.1,72.9,4.5,537
"OH",1.8,5.5,20.7,72,4.5,472
"OK",2.9,8.5,25.5,63.1,5.7,422
"OR",2.9,6.1,23,68,5,443
"PA",3.2,5.8,21.8,69.2,4.7,462
"RI",1.7,8.4,19.7,70.2,6.6,296
"SC",3.3,4.2,26.6,65.9,5.3,431
"SD",4.4,7.6,37.4,50.6,9.7,178
"TN",1.8,4.2,26.9,67,5.2,432
"TX",1.8,6.4,22.7,69.2,5,530
"UT",1.8,10.9,23.9,63.4,5.8,408
"VA",2.8,5.4,23.8,68.1,4.9,464
"VT",0,9.3,23.6,67.1,8.4,176
"WA",0.6,5.1,24.3,70.1,5.7,368
"WI",3.4,10.3,25.7,60.7,5.2,433
"WV",3,2.6,20.7,73.8,5.6,357
"WY",5,17.2,26.5,51.2,11,144
