How concerned, if at all, do you currently feel about the following: - Problems staying connected  with friends and family 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",23.8,27.2,26.4,17.4,5.2,0.8,19376
"AK",22,30.9,27.4,13.8,5.8,13.2,92
"AL",24.9,25.3,29.3,17.2,3.2,5.3,417
"AR",27.8,26.1,20.6,19.9,5.6,5.4,424
"AZ",32.1,21.9,29.4,12.7,3.8,5.3,441
"CA",25.9,23.7,25.8,18.1,6.5,4.4,717
"CO",31.4,25.8,23.6,13,6.3,5.2,439
"CT",21.9,31.9,23.1,19.1,3.9,5.8,322
"DC",20.2,24,21.2,25.9,8.6,11.4,98
"DE",22.6,24.8,30.8,16.2,5.7,7.1,302
"FL",25.3,24.7,21.6,20.5,8,4.7,520
"GA",22.8,25.6,26.2,18.2,7.3,4.7,460
"HI",21.1,26.5,27.3,22.6,2.4,7,242
"IA",21.6,31.1,27.8,13.7,5.8,5.2,430
"ID",23.1,29.8,24.6,16.2,6.3,6.1,318
"IL",24.9,26.8,25.2,18,5.1,5,467
"IN",21.9,26.7,31.2,16.2,4,5.1,453
"KS",25.7,28.7,29.2,9.3,7.1,5.6,443
"KY",20.9,30.9,29.5,17,1.7,5,422
"LA",24.3,26.3,26.2,18.5,4.7,5.5,413
"MA",22,23.8,33,16,5.2,5,436
"MD",21.3,29.9,23.9,20.1,4.8,5.9,367
"ME",22.2,28.2,29.1,17.5,2.9,5.5,322
"MI",26.8,25.5,26.6,16.6,4.5,4.6,477
"MN",23,32.1,27.6,13.6,3.8,4.9,444
"MO",26.8,23.9,27.6,15.1,6.6,4.9,424
"MS",22.6,27.8,25.9,16.8,6.8,6.1,380
"MT",28,33,21.5,10.9,6.7,7.2,214
"NC",23.3,30.6,24.9,16.7,4.6,4.7,448
"ND",20.9,27.1,36.4,14.1,1.5,10.7,164
"NE",22.2,28.8,30,15.5,3.5,6.3,329
"NH",17.7,31.3,28.8,14.3,7.8,6.1,348
"NJ",21.2,29.1,26.3,20.7,2.6,4.9,472
"NM",29.7,22,28.3,16.2,3.9,12,120
"NV",27.3,32.1,18.4,16.7,5.6,5.8,431
"NY",20.9,22.4,31.4,20.8,4.4,4.7,538
"OH",22.5,29.7,23.2,18.9,5.7,4.5,474
"OK",27.9,28.6,22.2,16.9,4.5,5.3,423
"OR",25.3,27,28.8,13.4,5.5,4.9,442
"PA",21.4,29.7,28.8,16.4,3.7,4.6,465
"RI",20.5,23.2,30.7,19.3,6.2,6.7,297
"SC",26.8,28.4,24.4,14.9,5.5,5.1,433
"SD",22.7,32.9,23.2,18.1,3.1,9,180
"TN",22.1,28.8,28.6,16.5,3.9,5,435
"TX",23.2,23.7,23.1,24.7,5.2,4.7,536
"UT",23,28,29,14.5,5.5,5.4,408
"VA",23.6,26.4,25.8,17.2,7,4.6,468
"VT",19.4,23.1,34,19.4,4.2,8.5,176
"WA",23.9,30.6,28.9,13.8,2.8,5.8,366
"WI",26.5,29.9,25.1,15,3.5,4.9,436
"WV",21.6,24.8,28.5,18.9,6.2,5.7,358
"WY",36.7,29.1,25.2,6,3.1,10.6,145
