Education recoded for weighing 
"","Some high school","High School Graduate","Some College","Bachelor Degree","Graduate Degree","Error Margin","N"
"National",9.8,27.9,31.4,19.1,11.8,0.8,19489
"AK",7.8,29.7,33.5,18.1,10.9,13.5,92
"AL",11.1,31.6,32.9,15.8,8.6,5.4,420
"AR",11.1,34,32.6,14.4,7.9,5.7,425
"AZ",9.5,24.7,36.9,18.5,10.5,5.4,442
"CA",10.8,21.7,33,22.2,12.3,4.7,720
"CO",6.4,21.8,31.9,25.7,14.3,5.2,443
"CT",8,27.3,27.3,21.6,15.8,5.5,323
"DC",3.7,19.1,18.9,27.1,31.2,11.8,102
"DE",10.1,33.2,27.2,17.6,11.8,7.2,304
"FL",6.5,29.8,32.8,19.9,11.1,5.1,522
"GA",11.3,28.8,30,18.9,11,4.9,462
"HI",6.7,25,35,22.2,11.1,7.5,242
"IA",7.3,30.6,34.7,19.1,8.3,5.4,436
"ID",7.8,28,37.8,18.1,8.2,6.4,320
"IL",8.3,26.8,31,21.1,12.8,5.2,470
"IN",9.4,33.6,30.9,17.1,9,5.2,454
"KS",7.3,25.1,35.4,20.6,11.6,5.9,444
"KY",11.3,33.6,31.5,14.3,9.2,5.1,426
"LA",14.1,34.5,29,15,7.5,5.9,418
"MA",6.7,24.3,26.1,24.8,18.1,4.6,441
"MD",7.8,25.3,27.5,21.9,17.5,5.7,369
"ME",6.7,31.3,31.8,19.7,10.5,5.7,322
"MI",7.2,29.4,35.1,17.8,10.4,4.9,482
"MN",6.5,24.6,34.3,23.4,11.2,5,445
"MO",7.2,30.9,33.5,17.9,10.6,5.1,425
"MS",12.7,29.4,35,14.7,8.1,6.4,383
"MT",6.1,28.8,35.4,19.9,9.8,7.3,214
"NC",2.8,27.7,35.7,22.3,11.4,4.9,450
"ND",6.1,25.1,43.4,17.9,7.5,11,165
"NE",7.9,27,33.9,21,10.2,6.5,329
"NH",7,28,30.4,21.7,12.9,6,352
"NJ",7.9,26.2,26,25.2,14.7,4.7,476
"NM",11.7,22.9,37.1,16.4,12,12.8,121
"NV",11.5,29.2,35.2,16,8.1,5.9,437
"NY",10.1,26.6,27,21.2,15.1,4.5,542
"OH",7,33.7,31.4,17.8,10.2,4.7,477
"OK",10.9,32.1,33.1,15.9,8,5.5,426
"OR",9.2,22.6,36.2,20.3,11.8,5.2,443
"PA",7.9,35.1,26.6,18.9,11.5,4.8,467
"RI",9,29.3,28.9,19.9,12.9,6.6,298
"SC",9.7,30.6,32.7,17.4,9.4,5.3,434
"SD",8.8,31.7,31.9,19.9,7.6,8.9,182
"TN",8.2,33,31.5,17.7,9.6,5.2,436
"TX",13,26.6,31.4,19,10,5,538
"UT",7.9,23,37.8,21,10.3,5.8,411
"VA",9,25.2,29,21.6,15.2,4.7,471
"VT",6.6,28.5,28.9,22.1,13.8,8.1,176
"WA",8.2,21.4,35.2,22.4,12.9,6,368
"WI",7.2,31,33.6,18.6,9.6,5,436
"WV",9.9,39.9,28.9,12.8,8.5,6.2,363
"WY",5,31,39.8,15,9.2,10.7,145
