In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","Friends and family","Radio news","Podcasts","Local television","Network television (e.g.  ABC, CBS, or NBC)","Cable television (e.g. CNN, Fox News, or MSNBC)","Late-night comedy shows (e.g. The Late Show with Stephen Colbert or The Daily Show)","Print newspapers (e.g. the New York Times or the Wall Street Journal print edition)","A news website or app (e.g. the New York Times or Fox News websites or apps)","A health website or app (e.g. WebMD)","A government website or app (e.g. CDC.gov)","An organization website or app (e.g. WHO.int)","A search engine website or app (e.g. Google, Bing)","A social media website or app (e.g. Facebook, Twitter, Snapchat)","Error Margin","N"
"National",49.7,19.7,5.8,54.8,47.2,36.7,7.9,9.8,28.2,10.6,20.5,7.4,22.2,38.6,0,1144
"AK",61.2,30.1,7.5,37.4,36.6,31.8,6.5,4.2,29.8,9.2,20.3,5.9,14.6,57.4,14.9,92
"AL",49.7,18.7,4.1,54.8,44.9,37.9,5.8,7.1,21.3,12.3,15.9,5.8,17,37.6,5.8,420
"AR",45.5,18,2.5,52.8,41.5,25.5,5,7.5,25.1,8.8,16.5,6.3,20.4,43.6,6,425
"AZ",42,19.5,6,49.2,38.2,40.9,6.4,8.1,27.6,10.2,18.6,6.8,22.9,34.8,5.6,442
"CA",46.7,23,6.2,54.4,46.8,33.7,7.3,9.6,30,8.3,19.4,5.9,22.3,34.5,5,720
"CO",46.4,18.2,6.1,47.1,41.3,32.4,7.4,10.9,30.8,9.5,23.8,9.7,24.6,38.5,5.6,443
"CT",53.5,18.7,4.6,58.3,48.9,42.8,10.5,14,25.5,10.6,18,8,18.2,37,6.2,323
"DC",42.8,12.6,12.3,55.8,43.4,47.1,16.4,14.5,38,9.6,20,13.4,17.9,42.6,12.8,102
"DE",51.6,20.8,5.8,54.3,55.1,48.1,10,10,27.8,8.4,24.4,7.6,24.4,36.4,7.7,304
"FL",47.7,17.1,5.9,61.8,47.7,40.2,9.8,11,26.4,7.7,12.5,5.5,18.3,37.5,5.4,522
"GA",54,23.4,8.8,54.9,43.6,42.9,7.2,10.5,30.5,10.5,22.7,7.6,26.3,35.6,5.4,462
"HI",51.8,25.7,8,54.7,38.1,35.1,7.1,13.4,28.9,9.9,18.6,7.8,27.7,47.8,7.9,242
"IA",51.6,24.2,4.1,60.3,48.1,31.7,10.7,9.7,25.8,8.6,18.8,4.3,20.5,40.6,5.6,436
"ID",54.9,21.3,4.9,50.4,39.7,24.7,6,10,33.4,9.8,23.6,8.6,20,40.2,6.6,320
"IL",45,20.1,5.1,53.1,52.5,34.5,8.5,11.1,23.8,10.9,14.2,8.2,19.2,35.3,5.7,470
"IN",47.1,16.6,3.9,52.5,49,33.3,5.9,11.7,29,7.7,21.5,6.3,20.9,43.7,5.5,454
"KS",48.6,21.7,8.1,53.1,48,37.9,6.7,7.4,31.4,11.9,25,8.6,21.5,41.5,6.1,444
"KY",50.3,22.8,4.8,64.2,46.5,30.5,5.3,9,25.8,9,18.7,4.7,22.9,46.4,5.4,426
"LA",50,15.9,4.4,60.6,48,34.9,7.1,6.5,29.6,11.4,24.9,9,18.8,39.6,6.2,418
"MA",52.3,22.6,4.3,52.2,54.1,42.2,6,9.1,32.9,8.6,19.8,6.3,19.8,36.3,5.3,441
"MD",54.1,24,8.9,55.8,49.3,38.3,11,13.2,28.3,10.4,29.9,7.6,25.2,39.8,6.4,369
"ME",43.9,19.5,6.2,55.1,54,34.3,7.4,14.7,24.7,10.1,22.2,7.6,14.4,33.1,6.1,322
"MI",47.9,22,5.6,57.9,54.1,41.1,5.9,10.5,27.4,10.7,21.6,7.4,22.3,35.7,5.1,482
"MN",50.4,23.1,5.4,56.1,48.7,32.4,7.5,12.7,33.4,10.5,22.3,6.5,21.5,33.3,5.3,445
"MO",49.7,17.5,6.3,54.9,48.6,31.8,6.3,7.6,25.9,12.3,15.1,5.4,22.2,42.3,5.4,425
"MS",51.6,16.4,6.3,66.3,50.9,35.9,9.3,7.1,25.9,12.5,21.1,6.6,19.5,42.1,6.8,383
"MT",45.2,20.5,7.7,45.4,40.7,33.4,7.3,14.1,31.3,10.1,21.8,10.7,20.1,45.2,7.7,214
"NC",50.9,17.1,5.1,56.7,48.2,36.3,6.9,6.7,24.8,8.3,17.6,6.7,24.1,37.1,5.1,450
"ND",58.2,29.6,5.8,60.4,51.7,34.6,8.9,18.7,33.5,12.5,32.2,5.7,22.9,46.7,11.2,165
"NE",51.5,22.4,8.8,56.1,42.8,35.7,10,15.2,26.6,9.7,21.8,6.4,21.1,44.9,6.8,329
"NH",46,22.4,4.8,55.7,44.8,38.6,8.8,8.1,33.1,12.1,22.6,9.8,25.6,41.7,6.5,352
"NJ",53.2,16.5,5.4,46.6,51.2,44.3,7.5,9.4,25.6,10.7,18.2,6.8,23,40.7,5.4,476
"NM",57.7,24.3,7.1,55.6,52,28.7,8.6,11.6,29.5,14.7,29.4,3.7,33.8,39.7,13.4,121
"NV",48,14,7.9,55.9,43.3,41.1,8.5,9.9,30.9,13.8,23.7,11.2,29.6,38.2,6.1,437
"NY",54.3,19.9,5.3,56.7,50.3,43,9.1,15,23,10.4,17,7.1,20,33.9,5,542
"OH",45.5,19.7,4.6,55.9,44.8,35.2,6.6,9,25.7,9.2,19.9,6.4,19.2,35.3,4.9,477
"OK",48.5,17.6,7.1,59.1,41.9,34.3,7.8,6.1,29.1,11.6,23.4,8.3,23.9,44.5,5.9,426
"OR",50.2,18.3,7.9,41.9,36,30.5,8,7.6,32.6,11.4,24.6,9.5,22.7,42.4,5.4,443
"PA",45.3,16.6,4.4,55.6,49,39,6.9,10.5,27.7,9.9,18.8,7,18.7,35.5,5,467
"RI",53.5,24.9,9.4,63.7,53.8,48.9,8.9,13.3,29.3,8.7,23.6,9.2,18.8,38.7,7.3,298
"SC",48.3,15.4,3.6,55.2,45.2,35.1,6.1,5.3,27.2,7.4,14.3,4.5,19.3,40.6,5.6,434
"SD",46.4,26.2,5.4,62.6,41,24.6,5.6,8.7,31.3,14.8,31.2,10.8,20.9,42.5,9.4,182
"TN",46.7,16,4.8,54.6,47.4,40.1,6,8.4,23.2,9.1,19,7.7,22.3,39.9,5.5,436
"TX",47.7,21.5,7.2,56,47.3,35.3,6.5,6.5,23.9,11.8,18.4,5.6,25.9,43,5.4,538
"UT",58.7,21.1,6.1,47.2,36.5,25.8,5.9,8.2,35.3,14.7,27.3,9.9,26.3,44.9,6,411
"VA",50.6,19.7,6.6,53,48.8,39.7,6.1,10.7,25.4,10.5,20.7,9,20.9,36.8,5.2,471
"VT",48.7,21,5.2,50.6,55.6,40.8,17.3,16.7,30.4,12.9,22.4,7.1,17.7,35.5,9,176
"WA",43.7,18.2,4.8,48.8,40.3,38,7,12.2,33.8,7.2,21.5,9.5,30.3,37.1,6.2,368
"WI",45.7,22.9,4.1,60.4,49.6,34.1,9.5,9.6,31.8,10.1,21.3,7.4,21.3,42.2,5.3,436
"WV",54.4,15.1,3,53.9,38,37.8,3.4,9,25.1,9.2,20.6,4.5,19.5,47.3,6.3,363
"WY",54,23.9,7.7,26.3,35.4,28,7.4,7.1,23.2,11.1,27.5,5.5,20.8,53.1,11,145
