How often do you talk to people about the current coronavirus (COVID-19) outbreak,  either in person, over the phone, or electronically? 
"","Never","Less than once a week","Once a week","A few times a week","Daily","A few times a day","Error Margin","N"
"National",3.7,7.7,6.7,27.3,34.8,19.9,0.9,19482
"AK",2.2,10.5,5.8,27,35.4,19.1,13.7,92
"AL",7,5.9,7.2,30.1,29.4,20.3,5.3,420
"AR",5.2,10,9.5,26.2,32.9,16.3,5.7,425
"AZ",5.2,9.3,8.3,30.5,29.4,17.4,5.2,442
"CA",4.9,5.6,7.4,23.9,35.4,22.8,4.8,718
"CO",6.5,9,7.2,26.8,34.4,16.1,5.3,443
"CT",1.4,2.2,4.4,27.3,37.4,27.3,6,322
"DC",5.2,3.5,1.4,21.8,37.8,30.3,12.4,102
"DE",2.5,8,3.4,26.8,42,17.3,7.6,303
"FL",6.6,6.3,7.8,27.4,33.7,18.3,5.1,522
"GA",4.7,9.9,4.8,26.9,34,19.7,5.1,462
"HI",2.4,10.2,7.7,23,40.6,16.1,7.7,242
"IA",6.1,7.1,5.6,29.8,32.9,18.5,5.3,436
"ID",5.4,9.3,5.6,25.2,36.8,17.7,6.4,320
"IL",5,5.6,8.2,25.2,33,23.1,5.3,470
"IN",2.6,5,11.9,28.3,33.3,19,5.2,454
"KS",4.9,7.7,6.9,24.1,33.2,23.2,5.8,443
"KY",2.6,7.7,6.5,27.7,37.2,18.4,5.2,426
"LA",7.8,10.4,5.2,22.3,33.1,21.2,5.8,418
"MA",2.6,4.4,5.6,22.1,38.2,27.1,5.1,441
"MD",3,4.5,2.9,28.7,37.3,23.5,6.2,369
"ME",2,9.4,8.2,25.4,36,19,5.9,322
"MI",3,7.7,6.8,23.3,34.7,24.4,4.9,482
"MN",1.4,7.9,6,29.8,35.7,19.1,5.1,445
"MO",1.8,11.4,5,33.6,30.4,17.8,5.1,425
"MS",3.9,9.6,3.5,28.7,34.9,19.4,6.4,383
"MT",2.9,9.2,8,29.4,32.8,17.7,7.2,214
"NC",3.5,8.5,6,30.1,32.8,19.3,4.8,450
"ND",0.2,4.4,8.1,25.3,40.4,21.6,10.9,165
"NE",1.7,8.8,8.1,29.2,36.6,15.6,6.6,329
"NH",2.3,6.2,5.4,26.4,41.8,17.9,6.4,352
"NJ",3.6,5.2,5.2,26.8,36.1,23.1,5.1,476
"NM",5.2,9.1,4.7,21,40.7,19.2,13,121
"NV",5.7,9.4,5.8,26,33.7,19.5,5.8,437
"NY",2,9,4.6,21.8,34.9,27.6,4.8,542
"OH",3.2,9.1,7.7,28.6,33.7,17.7,4.7,476
"OK",4.5,10.4,8.4,30.1,28.4,18.2,5.4,425
"OR",4.8,9.9,7.9,31.5,33.3,12.6,5.1,443
"PA",2.8,10.1,6.5,26.2,37,17.4,4.8,467
"RI",4.3,4.4,7.4,21.9,39.2,22.6,7,298
"SC",4.2,9.2,7.2,27.9,33.1,18.4,5.3,434
"SD",0,6.6,8.6,24.6,46.6,13.5,9.5,182
"TN",4.1,4.5,9.8,26.1,35.1,20.4,5.3,436
"TX",3.1,10.1,6.8,24.5,38.2,17.2,5.3,538
"UT",1.5,4.4,7.3,30.5,35.5,20.8,5.7,411
"VA",1.3,5.8,7.5,32.4,35,18.1,5,471
"VT",2.2,8.2,6.7,23.1,39.2,20.6,8.8,176
"WA",3,9.4,8.8,28.8,33.2,16.8,5.9,368
"WI",5.4,11.1,6.5,29.6,31.1,16.3,4.9,436
"WV",1.6,9,7.6,24.6,39.9,17.3,6.2,363
"WY",2.5,8,6.8,33.6,34,15.2,10.4,145
