Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Restricting travel within the U.S. 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",4.8,9.9,30.7,54.6,0.9,19324
"AK",7.7,13.1,31.4,47.7,14.6,90
"AL",4.2,8.1,30.6,57.1,5.7,413
"AR",5.7,12.7,33.6,48,6.1,422
"AZ",9.9,11.4,33,45.7,5.6,440
"CA",4.4,11.3,31.3,53,5,714
"CO",7.1,13.3,35.8,43.9,5.6,439
"CT",4,8.6,28.8,58.6,6.1,321
"DC",3.7,17,21.9,57.4,12.8,100
"DE",3.1,6.9,35,55,7.7,301
"FL",4.4,5.5,26.1,64.1,5.2,516
"GA",4.5,8.4,29.7,57.4,5.3,457
"HI",5.1,7.5,22.9,64.4,7.6,241
"IA",5,15.7,34.4,45,5.6,431
"ID",5.5,14,39.3,41.2,6.5,318
"IL",5.5,8.9,34.1,51.5,5.7,469
"IN",3,11.7,32.3,53.1,5.6,448
"KS",3.5,9.5,37.1,49.8,6.2,440
"KY",5,9.8,26.5,58.7,5.4,424
"LA",5.2,9.9,27.3,57.5,6.1,415
"MA",3.2,10.1,26.8,59.9,5.2,435
"MD",3.7,7,26.1,63.3,6.2,368
"ME",3.4,6.8,28.6,61.1,6,318
"MI",6,7.5,31.2,55.4,5.2,475
"MN",5.2,15.7,32.4,46.8,5.3,440
"MO",4.8,11.5,30.2,53.5,5.4,423
"MS",7.8,8.7,30.4,53.2,6.8,380
"MT",8.4,12.3,36.5,42.7,7.6,213
"NC",5.2,9.3,28.4,57.1,5.1,448
"ND",8.3,11.6,35.9,44.2,11.1,164
"NE",4.7,13.8,30.9,50.6,6.8,328
"NH",2.9,11.5,28.8,56.8,6.4,351
"NJ",4,9.7,25.1,61.1,5.2,474
"NM",8.7,10.9,23.9,56.5,13.3,120
"NV",6.3,11,33.1,49.6,6.2,433
"NY",1.4,8.1,29.1,61.5,4.9,539
"OH",2.4,9.7,29.7,58.2,4.9,470
"OK",6.4,10.1,37.3,46.2,5.9,421
"OR",4,9.3,33.1,53.7,5.4,442
"PA",4.9,9.6,30.2,55.2,5,460
"RI",4.5,8.1,32.5,54.9,7.2,296
"SC",5.6,8,34.7,51.7,5.6,431
"SD",7.7,16.3,34.4,41.7,9.5,179
"TN",4.8,11.1,33.4,50.8,5.5,434
"TX",2.5,10.7,28.7,58.1,5.4,534
"UT",6.4,13.1,35.8,44.7,6,408
"VA",3.4,11,30.4,55.2,5.2,469
"VT",5.3,10.2,34.1,50.4,9,175
"WA",4.3,8.7,36.2,50.7,6.3,365
"WI",6.3,10.4,30.2,53.1,5.4,432
"WV",3.6,7.6,27.8,61.1,6.2,356
"WY",11.7,21.5,29.1,37.7,10.6,144
