Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Cancelling major sports and entertainment events 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",2.5,5.5,17.3,74.7,0.8,19369
"AK",4.6,4.4,13.6,77.4,12.2,89
"AL",1.4,4.7,20.1,73.9,5.1,416
"AR",3.8,8,18.5,69.7,5.6,422
"AZ",4.6,6.3,21.4,67.7,5.3,437
"CA",3.8,4,14.7,77.5,4.2,717
"CO",3.3,12.8,16.9,67,5.3,439
"CT",1.3,5,16.3,77.3,5.2,323
"DC",1.4,1.4,15.2,81.9,10,99
"DE",0.7,5.8,17.4,76.1,6.6,298
"FL",2.3,6.4,14.9,76.3,4.6,521
"GA",2.4,7,15.4,75.1,4.6,459
"HI",3.5,6,15.6,74.9,6.8,242
"IA",2.2,7.9,22.5,67.4,5.3,430
"ID",6,9.8,19.1,65.1,6.3,319
"IL",3.7,3.8,18.3,74.1,5,470
"IN",4.4,5.9,15,74.7,4.8,451
"KS",2.2,4.2,17.4,76.2,5.2,442
"KY",0.5,3.1,12.3,84.1,4,424
"LA",4.5,3,15.6,76.9,5.2,414
"MA",2,2.2,13.2,82.7,4,437
"MD",2.4,6,14.6,77,5.4,368
"ME",2.5,3.8,11.8,81.8,4.7,319
"MI",2.5,3.9,17.4,76.3,4.4,477
"MN",2.4,7.8,25,64.8,5.1,442
"MO",2.7,5.7,22.8,68.8,5,425
"MS",1.4,4.8,18.7,75,5.9,380
"MT",4,7.2,20.5,68.3,7.1,213
"NC",2.5,5.9,16.5,75.1,4.4,449
"ND",7.5,5.2,27.2,60.1,10.9,165
"NE",3,6.8,21.6,68.6,6.3,329
"NH",2.3,4.1,14.6,79,5.3,352
"NJ",2.3,4.9,12.6,80.2,4.3,473
"NM",4.1,7.5,11.3,77.2,11.1,121
"NV",4.5,6,17.9,71.7,5.6,433
"NY",1.4,6.8,15.3,76.5,4.3,538
"OH",2.4,4.9,16.6,76.1,4.2,471
"OK",2.7,5.7,21.5,70,5.4,424
"OR",1.7,4.8,17.5,75.9,4.6,442
"PA",4.4,3,16.6,75.9,4.3,463
"RI",0.8,9.3,16,73.8,6.3,296
"SC",1.8,7.5,17.9,72.8,5,433
"SD",0.6,6.1,28.9,64.5,9.2,179
"TN",1.7,8.2,16.9,73.2,4.9,435
"TX",1.4,5.2,18.5,75,4.7,535
"UT",4,7.2,19.9,68.9,5.6,407
"VA",2.2,6.5,15.7,75.6,4.5,468
"VT",0.3,4.4,16.5,78.7,7.4,176
"WA",1.8,4,18.2,75.9,5.3,368
"WI",2.8,8,21.4,67.9,5,435
"WV",2.9,3.3,14.9,78.8,5.2,359
"WY",2.6,12.5,18.6,66.4,10.4,145
