How much, if at all, has your life been disrupted by the coronavirus (COVID-19) outbreak? 
"","Not at all","A little","A moderate amount","A lot","A great deal","Error Margin","N"
"National",3.4,14.7,29.6,24.8,27.5,0.8,19462
"AK",0.8,12.8,33.7,21.6,31.1,13.5,92
"AL",7.8,20.5,25.1,18,28.6,5.2,419
"AR",5.6,19.6,32.7,20.5,21.6,5.7,424
"AZ",4.6,17.7,27.5,23.1,27.1,5,441
"CA",1.8,13.2,27.4,24.1,33.5,4.7,720
"CO",2.9,14,30.7,23.8,28.5,5.2,442
"CT",2.2,9.9,28.8,24.8,34.2,5.9,323
"DC",5.1,4.1,21.5,29.1,40.2,12.5,102
"DE",2.8,12.2,33.8,23.9,27.3,7.3,302
"FL",4.6,16.7,29,25.5,24.3,4.9,522
"GA",3.4,16,31.4,24.6,24.7,5,462
"HI",3,8.3,24.6,28.9,35.2,7.5,242
"IA",3.7,18.9,31.4,24.5,21.5,5.2,435
"ID",4.2,14.7,33.3,19.4,28.3,6.2,320
"IL",2.7,15.9,29.1,22.6,29.6,5.1,468
"IN",1.9,15.4,29.5,28.9,24.4,5.1,453
"KS",5.9,16.4,27.2,25,25.5,5.5,443
"KY",2.6,15.1,39.6,20.3,22.4,5.3,426
"LA",5.7,13,27.4,26.2,27.7,5.5,417
"MA",2.5,9.3,29.1,28.9,30.2,4.8,441
"MD",5.6,9.9,31.5,28.2,24.9,5.9,369
"ME",4.9,16.3,36.3,19.6,22.9,5.9,322
"MI",2.4,11,28.9,27.4,30.3,4.7,482
"MN",2.8,16.2,30.4,27.9,22.8,4.9,444
"MO",3.3,19.9,30.7,21.8,24.3,5,425
"MS",4.1,22.9,34.8,15.9,22.4,6.4,382
"MT",4.9,16.6,34.3,25.7,18.4,7.3,214
"NC",3.1,20,28.4,24.9,23.6,4.6,448
"ND",2.4,12.5,31.9,25,28.2,10.4,164
"NE",4,19.2,33.5,19.7,23.6,6.4,329
"NH",1.3,14.9,28.1,21.8,33.8,6.2,352
"NJ",2.5,12.1,24,30.4,30.9,5,476
"NM",6.2,24.3,27.6,12.8,29.2,12.1,121
"NV",2.4,13.2,27.4,26.4,30.6,5.7,436
"NY",3.2,8.6,25.1,28.9,34.1,4.8,542
"OH",3.5,15.3,30.2,25.4,25.6,4.5,476
"OK",3.7,20.3,31.8,19.9,24.4,5.5,424
"OR",1.6,18.3,31,26.5,22.6,5,443
"PA",2.1,14.5,30.7,24.1,28.5,4.6,467
"RI",2.6,10.7,28.1,25.2,33.4,6.8,298
"SC",3,19.2,31.5,24.8,21.6,5.2,432
"SD",1.3,18,34.6,26.8,19.4,9.1,182
"TN",2.8,13.3,30.3,24.3,29.2,5.1,436
"TX",2.6,13.8,27,26.2,30.4,5,537
"UT",0.7,13.3,33.3,26.7,26,5.6,411
"VA",3.4,13.3,26.4,26.9,30,4.8,470
"VT",1.1,14.8,26,28.4,29.6,8.2,176
"WA",3.1,16.4,27.9,31.2,21.5,5.8,367
"WI",3.5,19.8,33.9,20.2,22.5,5.1,436
"WV",4.3,16,33.2,24.2,22.3,5.9,363
"WY",2,17.2,44.3,23.1,13.3,11,144
