How concerned, if at all, do you currently feel about the following: - Losing your job due to the virus outbreak or the measures against it 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",13,13.6,16.6,23,33.8,0.9,19357
"AK",7.6,17.6,16.6,31,27.2,13.2,92
"AL",14.9,11.4,17,24.9,31.7,5.4,417
"AR",16.7,13.8,14.9,20.1,34.5,5.8,422
"AZ",12.2,9.2,14.7,26.2,37.8,5.5,440
"CA",11.5,12.9,16,25.4,34.3,4.8,716
"CO",13.9,16.7,19.7,21.3,28.4,5,441
"CT",12.1,17.4,13.5,25.9,31.1,5.8,321
"DC",12.4,15.2,34,19.9,18.4,12.4,98
"DE",8.8,12.9,14.9,22.9,40.5,7.6,302
"FL",9.3,9.6,14.1,24.8,42.2,5.4,519
"GA",10.3,13.7,16.2,25.7,34.1,5.1,461
"HI",9,11.6,20,33.1,26.3,7.4,242
"IA",18.2,16.1,18.6,14.3,32.8,5.3,432
"ID",14.8,11.7,15.4,22.3,35.7,6.4,317
"IL",12.3,12.5,18,25.1,32.1,5.3,466
"IN",13.8,15.2,15.5,19.8,35.6,5.3,451
"KS",13.4,16.9,15.2,20.6,33.8,5.8,440
"KY",13.7,13.3,14.7,20,38.3,5.3,425
"LA",16.8,8.4,15,19.8,40,6.1,415
"MA",12.5,18.2,17.6,22,29.7,4.8,438
"MD",13.4,17.6,18.7,20.9,29.3,5.8,368
"ME",15.6,13.7,15.2,15.8,39.8,6,322
"MI",14.2,14,16.1,19.4,36.4,5,476
"MN",11.7,16.1,19.1,20.6,32.5,5,444
"MO",15.8,12.4,12.9,21,37.9,5.3,423
"MS",13.8,13.6,13.6,21.1,38,6.6,379
"MT",18.8,12.2,13.2,20,35.8,7.3,214
"NC",17.8,16.8,14.4,21.1,29.9,4.7,449
"ND",26.2,19.1,11.6,16.2,26.8,9.9,164
"NE",18.4,16.1,13.3,18.7,33.5,6.5,327
"NH",14.4,14.9,17.1,20.8,32.8,6.1,350
"NJ",11.8,11.2,20.8,28.6,27.6,4.9,472
"NM",20.1,10.3,8.8,25.4,35.4,12.8,118
"NV",9.6,10.6,16.9,33.9,29,5.8,430
"NY",10.1,11.7,19.7,26.1,32.4,4.7,539
"OH",16.8,14.5,10.2,23.2,35.2,4.7,472
"OK",16.1,12.5,16,24.4,30.9,5.4,424
"OR",12.3,15.8,19.6,18,34.2,5.1,441
"PA",11.8,13.8,18.9,17.9,37.6,4.9,464
"RI",9.2,10.7,20.6,23.6,35.9,6.9,297
"SC",12.3,14.6,17.8,19.6,35.8,5.4,431
"SD",17.8,19.9,16.9,16.9,28.5,8.6,181
"TN",11.7,16.3,14,25.7,32.3,5.2,432
"TX",12.1,10.6,18.2,27.8,31.4,5.1,530
"UT",14.9,18.1,18.8,19.7,28.5,5.4,408
"VA",14.8,14.8,18.1,21.7,30.6,4.8,467
"VT",13,14.4,16.5,17.2,38.9,8.8,175
"WA",14.5,9.1,20.1,16.9,39.4,6.1,366
"WI",15.9,15.8,15.8,17.7,34.8,5.1,434
"WV",10.8,14.6,15,19.1,40.5,6.2,360
"WY",20.5,19.3,15.8,11.7,32.7,10.3,145
