How concerned, if at all, do you currently feel about the following: - Problems with working from home during the virus outbreak 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",15.3,15.7,14.2,12.4,42.3,0.9,19346
"AK",20.8,13.3,12,15.2,38.7,14.2,90
"AL",13.5,14.6,16.2,15.3,40.5,5.7,415
"AR",16.4,16.1,8.8,13.5,45.2,6,423
"AZ",16.3,14,14.1,14.5,41,5.6,439
"CA",16.3,17.3,15.3,13,38.1,4.9,715
"CO",22.6,17.4,12.8,9.8,37.4,5.4,440
"CT",15.3,18.5,16.3,12.1,37.7,6,320
"DC",14.6,15.7,24.6,21,24.1,11.3,97
"DE",14.6,15.1,12.8,10.9,46.6,7.7,300
"FL",14,11.3,9.6,13.5,51.6,5.4,519
"GA",16.9,13,17,13.3,39.8,5.3,459
"HI",15.3,18.2,13.2,16.9,36.4,7.6,239
"IA",15.1,17.9,12,6.8,48.1,5.6,430
"ID",17.1,19.4,15.7,9.7,38,6.5,315
"IL",15.9,14.4,15.5,13.5,40.7,5.6,468
"IN",14.5,13,11.5,12.7,48.3,5.5,452
"KS",15.8,21.1,12.3,10.1,40.7,6.1,440
"KY",12,13.6,10.2,15.4,48.8,5.4,425
"LA",15.4,13.1,13.4,13.5,44.5,6.2,415
"MA",10.1,16.6,15.8,14.5,43,5.2,437
"MD",16.7,18.3,14.8,12.6,37.7,6.2,368
"ME",17.4,16.1,10.4,7.8,48.3,6.1,320
"MI",11.3,16.7,10.4,10.8,50.7,5.2,475
"MN",16.9,15,15.7,7.8,44.7,5.3,443
"MO",16.1,13.6,11.7,9,49.6,5.5,423
"MS",14.9,10.3,14.7,12.4,47.8,6.8,381
"MT",10.7,15.4,12.4,10.4,51.2,7.7,214
"NC",17.2,15.8,13.8,11.4,41.9,5.1,447
"ND",21.9,21.9,16.3,3.1,36.7,10.7,164
"NE",19.5,17.2,15.6,8.5,39.2,6.7,329
"NH",12.5,16.2,10.5,7.2,53.6,6.5,350
"NJ",14.6,14.3,15.1,15.2,40.8,5.3,472
"NM",20.6,14.4,13.7,12.1,39.3,13,119
"NV",13.1,17.6,14.3,14.9,40.1,6,431
"NY",12.2,14.9,16.4,15.6,40.9,5,534
"OH",17.9,16.4,9.9,9.8,46,4.9,475
"OK",16.9,19.5,13.4,12.5,37.7,5.7,424
"OR",14.7,17.4,14.2,8.9,44.9,5.4,442
"PA",14,14.9,14.1,10.7,46.3,5,465
"RI",10.9,19.5,16.3,11.7,41.6,7.1,296
"SC",15.6,12.6,15.4,8.8,47.6,5.6,432
"SD",15.4,20,13.2,13.9,37.5,9.3,181
"TN",14.8,14.3,13,10.9,47,5.6,431
"TX",17.2,16,16.7,14.3,35.8,5.2,533
"UT",18.8,22.6,15,12.6,31.1,5.5,411
"VA",16.4,18.2,12.9,12.8,39.8,5.1,468
"VT",15,13.6,19.5,7.3,44.6,9,175
"WA",15.2,15.7,14,9.4,45.7,6.2,366
"WI",14.2,17.1,14.2,8.3,46.2,5.3,435
"WV",12.7,11.8,11,12.1,52.4,6.3,359
"WY",25.1,18.9,6.3,2.7,47.1,11,145
