Household income range 
"","NA","Under 15K","15K to under 25K","25K to under 35K","35K to under 50K","50K to under 75K","75K to under 100K","100K to under 150K","150K to under 200K","Over 200K","Error Margin","N"
"National",14.4,11.6,11.8,10.3,11,16.2,9.8,9,3.3,2.7,0.7,19489
"AK",8.5,12.3,16,8.1,11,15.9,17.3,6.7,2.4,1.8,10.8,92
"AL",19.1,14.4,12.3,11.7,12.1,14.4,7.4,5.8,1.5,1.4,4.5,420
"AR",19.9,16.9,11.8,10.5,10.5,14.1,7.6,4,1.4,3.2,4.8,425
"AZ",8.5,14.1,10.8,12.2,13.9,16.2,8.6,8.8,4.1,2.8,4.2,442
"CA",10.6,13.6,11.1,7,8.8,17.2,12.4,12.1,3.3,3.9,3.8,720
"CO",6.8,12.3,12.3,10.1,9,21.8,12.3,8.4,4.1,2.8,4.6,443
"CT",12.7,9.6,6.4,7.1,14.2,18.7,9.2,13,6.2,2.8,4.8,323
"DC",45.6,6.4,6.5,3.7,5.6,10.9,2.4,7.4,4.2,7.3,12.7,102
"DE",16.4,12.8,7.8,14.9,5.4,17.6,8.9,12.7,1.4,2,5.8,304
"FL",8.1,12.4,12.3,12.9,10.4,19.1,11.4,8.1,2.6,2.6,4.3,522
"GA",6.7,12.2,14.5,12.1,11,19.4,8.6,9.3,3,3.1,4.2,462
"HI",23.3,7.5,6.5,8.4,7.9,11.7,14.6,12.2,4.6,3.3,6.7,242
"IA",15.8,10.4,15.4,10.5,10.7,16.9,9,6.5,3.1,1.6,4.2,436
"ID",24,14.1,11.5,7.6,11.4,14.8,9.1,5,1.7,0.9,5.7,320
"IL",8.6,13.8,9.9,8.1,11.2,17.8,12.6,10.6,4.1,3.2,4.3,470
"IN",14.2,11.7,11.6,9.6,16.5,15.3,9.2,6.5,4.1,1.2,4.1,454
"KS",21.5,11,10.7,7.4,9.3,12.5,10.1,12.2,3.4,1.9,5,444
"KY",14.4,8,19.1,12.8,13,15.4,8.6,5.9,2.3,0.4,4.3,426
"LA",21.6,13.4,16.1,13.8,8.1,10.8,5.4,5.9,2,2.7,5.1,418
"MA",9.6,7.1,10.2,7.7,9.4,21.4,10.8,13.2,5.3,5.2,4.3,441
"MD",5.9,9.6,9.2,7.9,10.2,16,14.4,14.2,7.8,4.7,4.7,369
"ME",28.1,9,10.7,9.5,13.1,13.5,7.3,5.9,1.7,1.2,5.5,322
"MI",9,10.5,15,10.9,10.7,18.8,10.1,9.6,3.7,1.7,4,482
"MN",12.9,8.6,9.5,10.8,12,17.8,10.3,11,4.6,2.5,4.1,445
"MO",9.2,13.8,15.1,13.5,11.4,13.7,10.7,6.8,3.7,2.1,3.9,425
"MS",20,19.9,12.6,8.3,14.8,9.6,7,5.3,2.3,0.2,5.4,383
"MT",13.8,16.1,11.5,11.2,8.2,13.3,11.1,7.9,5.2,1.5,5.6,214
"NC",10.2,9.1,9.7,13.8,12.9,19.7,11.1,8.6,2.3,2.6,4.1,450
"ND",13.9,4.7,10.5,6.3,9,17.8,17.4,17.5,2.6,0.2,8.5,165
"NE",21.3,12.6,14.4,9.6,7.8,15.2,9.3,6.6,2.4,0.9,5.6,329
"NH",23.3,8.3,5.6,7.8,10.1,20,7.6,11.5,2.7,3.1,5.5,352
"NJ",7.6,8.6,8.1,7.2,10.6,20.6,14.8,10.7,6.8,5,4.3,476
"NM",6.6,25.6,11.1,10.8,21.2,12.8,8.6,3.3,0,0,11.6,121
"NV",21.3,9.3,11.3,8.8,10,18.7,8.5,8.8,2.1,1.1,5,437
"NY",8.9,11.7,14.3,10.7,10.1,14.3,10.4,11,3.9,4.6,3.5,542
"OH",8.6,13.7,12.4,10.4,13.4,17.4,9.8,10.8,2.2,1.4,3.7,477
"OK",18.4,14.5,12.8,11.2,12,15.4,9.9,2.8,1.1,1.8,4.5,426
"OR",20.8,9.9,9.2,9.9,13.9,13.9,6.8,9,2.6,4,4.4,443
"PA",10.9,13.7,9.9,10.9,10.7,17.7,11,10.4,2.9,2,3.8,467
"RI",22.1,12.2,8.9,8.9,8.4,16.8,11.3,6.9,1.9,2.6,6,298
"SC",14.9,11.3,13.7,10.2,14.4,13.1,10.8,8,2.2,1.5,4,434
"SD",21.4,13.4,9.4,11.6,15.1,14.6,7.4,4.2,1,1.9,7.8,182
"TN",6.7,12.2,15,14.1,12.3,20.2,9,7.3,2.6,0.7,4.4,436
"TX",4.3,17.3,15.8,9.7,10.5,17,7.5,11.7,3.1,3.3,4.1,538
"UT",25.4,9.4,9.3,9.2,10.5,15.3,10.2,6.2,1.5,2.8,5.2,411
"VA",7.8,7.8,11.3,8.8,10.9,21.2,10.3,11.7,6.4,3.8,4.2,471
"VT",16.9,12,10.4,8.6,15.5,11,13.1,8.9,1.7,2,6.7,176
"WA",9.6,11.9,9.9,8.7,9.3,17,10,15.8,5.5,2.2,4.7,368
"WI",9.8,8.4,10.3,14,13.5,14,15.9,9.7,2.5,1.9,3.9,436
"WV",23,9.9,14.2,8.9,16.2,12.8,7.6,4.8,1.1,1.5,5.3,363
"WY",20.9,15.5,7.3,9.5,14.3,20.3,6.2,5.5,0.6,0,8.9,145
