Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Asking people to stay at home and avoid gathering in groups 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",2,4.2,19.3,74.5,0.8,19368
"AK",1.4,5.1,18.2,75.3,12.5,91
"AL",0.8,2.8,22.7,73.8,5.1,416
"AR",2.3,3.9,24.9,68.9,5.6,421
"AZ",3.1,5.8,23.3,67.8,5.3,439
"CA",2,3.6,16.3,78,4.2,714
"CO",6.7,5.9,20.6,66.8,5.3,442
"CT",0.8,3.1,18.6,77.4,5.2,322
"DC",2.6,1.8,12.3,83.3,9.6,101
"DE",1.6,5.2,16.8,76.5,6.6,300
"FL",1.5,3,20.1,75.4,4.7,517
"GA",1.6,2.2,19.3,76.9,4.5,457
"HI",3.7,8.5,17.6,70.2,7.2,241
"IA",2.1,6,25.4,66.5,5.3,432
"ID",3.5,8.2,28.1,60.3,6.5,319
"IL",3,3.8,19,74.2,5,469
"IN",1.5,4.7,18.4,75.4,4.8,450
"KS",2.3,6.3,24.9,66.6,5.8,442
"KY",0.5,4.3,13.8,81.4,4.2,424
"LA",3.5,2.4,17.9,76.2,5.3,415
"MA",1,2.1,15.1,81.8,4.1,437
"MD",0.5,2.8,18.4,78.3,5.3,368
"ME",2.1,5.9,15.6,76.3,5.2,319
"MI",2.6,2.5,18.1,76.8,4.4,477
"MN",2.4,6.6,22.6,68.4,5,441
"MO",1.8,6.9,20.1,71.2,4.9,424
"MS",2.7,4.7,22.4,70.2,6.2,380
"MT",3.7,8.1,21.8,66.4,7.3,213
"NC",1.6,3,24.1,71.3,4.6,450
"ND",4.2,5.3,26.8,63.6,10.7,164
"NE",1.2,5.2,25.1,68.4,6.4,328
"NH",1.1,3.8,24.8,70.2,6,351
"NJ",1.8,2.5,16.1,79.6,4.3,474
"NM",2.4,3,18.7,75.9,11.3,121
"NV",1.8,5.3,17.8,75.1,5.3,433
"NY",1.3,2.8,16.8,79.1,4.1,540
"OH",1.2,2.7,18,78.1,4.1,471
"OK",2.2,4.6,26,67.3,5.5,423
"OR",0.4,4.8,21.1,73.8,4.7,443
"PA",2.9,4.9,19.8,72.5,4.5,462
"RI",1.4,3.2,19,76.4,6.1,296
"SC",2.3,2.2,23.9,71.6,5.1,433
"SD",0.4,3.1,36.3,60.3,9.4,180
"TN",2.2,3.6,22.9,71.3,5,435
"TX",0.8,6.8,17.3,75.1,4.7,537
"UT",2.8,5.6,22.5,69,5.5,408
"VA",2,4,18.1,76,4.4,470
"VT",0.5,3.2,23.2,73,8,176
"WA",1.3,2.1,20.5,76,5.3,367
"WI",2.5,6.1,22.1,69.3,4.9,431
"WV",2.6,2.2,15.2,80,5.1,359
"WY",4.3,8.5,25.6,61.5,10.7,145
