Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Restricting international travel to the U.S. 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",1.9,3.5,19.2,75.4,0.8,19352
"AK",4.3,3.5,14.8,77.5,12.2,90
"AL",1.5,3.8,17.2,77.5,4.8,416
"AR",1,5.8,20.2,73,5.4,421
"AZ",2.9,3.6,25,68.5,5.2,441
"CA",1.8,4.6,23.4,70.3,4.6,716
"CO",3.3,5.8,21.1,69.8,5.2,439
"CT",0.4,1.6,21.4,76.7,5.2,322
"DC",1.9,7.4,15.6,75.1,11.2,100
"DE",0.5,3.5,25.1,70.9,7,301
"FL",1.8,3.1,15.9,79.2,4.4,520
"GA",2.4,3.8,16.7,77.2,4.5,458
"HI",4.6,4.7,16.1,74.6,6.9,241
"IA",1.4,3.9,22.6,72.1,5,433
"ID",3.5,3.5,24.7,68.4,6.2,320
"IL",1.9,3.1,21.2,73.8,5,469
"IN",1.8,3.5,19.5,75.2,4.8,452
"KS",1,3.9,19.2,75.9,5.3,439
"KY",2,3.3,12.9,81.9,4.2,422
"LA",1.9,2.8,16.4,78.8,5.1,416
"MA",1.3,3.8,18.5,76.4,4.5,437
"MD",0.7,1.7,15.4,82.2,4.9,368
"ME",1.2,1.8,15.9,81.1,4.8,317
"MI",1.9,2.4,14.8,81,4.1,478
"MN",0.8,5.1,22.1,72,4.8,443
"MO",0.6,2.9,19.4,77.1,4.6,419
"MS",3.7,2.7,21,72.7,6,379
"MT",2.4,5.3,20.3,72,6.9,211
"NC",2,3.3,20,74.7,4.4,449
"ND",3.7,3.3,25.1,67.9,10.4,165
"NE",2.9,1.6,21.9,73.6,6,327
"NH",0.9,2.8,15.1,81.1,5.1,350
"NJ",0.6,4.5,18.9,76,4.6,473
"NM",2.8,0.3,16.8,80.1,10.6,120
"NV",3.4,3.6,22.3,70.6,5.6,433
"NY",1.1,2.4,17.6,78.9,4.1,540
"OH",2.1,1.3,17.8,78.8,4.1,469
"OK",0.3,3.8,28,67.9,5.5,422
"OR",1.2,2.4,20,76.5,4.6,443
"PA",3.1,3,17.2,76.8,4.3,462
"RI",3.8,3.1,16.9,76.3,6.1,296
"SC",2.4,2.9,16.5,78.2,4.6,433
"SD",1.9,4.9,28.1,65.1,9.2,179
"TN",0.6,4.1,18.4,76.8,4.7,433
"TX",1.7,3.9,15,79.5,4.4,535
"UT",2.6,7,20.3,70,5.5,408
"VA",1.6,4.1,19.5,74.7,4.5,469
"VT",1.8,1.1,22.4,74.7,7.8,176
"WA",1,2.8,27.2,69.1,5.8,367
"WI",0.7,1.9,18.3,79.1,4.4,434
"WV",0.7,3.6,13.3,82.3,4.8,356
"WY",1.8,3.5,21,73.7,9.7,145
