Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Requiring most businesses other than grocery stores and pharmacies to close 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",5.2,12.1,31.3,51.3,0.9,19361
"AK",5.1,15.7,34.5,44.7,14.4,91
"AL",4.3,12.6,32.1,51,5.8,415
"AR",5.3,20.9,33.5,40.3,6,422
"AZ",8.4,17.7,30.1,43.8,5.6,438
"CA",5.4,13.4,32,49.2,5,715
"CO",11.3,15.5,30.4,42.8,5.6,440
"CT",4,9.7,28.5,57.7,6.1,323
"DC",0.6,11.5,19.2,68.7,12,100
"DE",3.9,16.2,28.4,51.5,7.7,302
"FL",5.6,10.5,32.2,51.7,5.4,521
"GA",4.4,9.2,31.3,55.2,5.4,457
"HI",7.7,13.3,33.2,45.8,7.8,242
"IA",5.2,13.5,35.4,45.9,5.6,431
"ID",9.7,15.9,34.8,39.5,6.5,319
"IL",5.9,9.8,30.6,53.7,5.7,466
"IN",5.6,10.5,28.9,55,5.5,453
"KS",5,14.1,33.2,47.7,6.1,442
"KY",3.9,9.7,30.2,56.3,5.4,424
"LA",6.5,10.1,28.2,55.3,6.2,416
"MA",3.4,5.9,28.6,62.1,5.2,435
"MD",3.8,16.2,23.2,56.8,6.3,368
"ME",5.1,9.4,31.4,54.1,6.1,319
"MI",6.3,11.9,29.9,51.9,5.2,478
"MN",5.8,16.7,32.9,44.7,5.3,443
"MO",5.4,15.7,29.1,49.7,5.4,425
"MS",5.8,11.5,35.9,46.9,6.8,380
"MT",11.5,13,32.3,43.2,7.6,212
"NC",7.1,12.7,31.2,49,5.1,448
"ND",8.6,17.1,40.1,34.2,11,164
"NE",4.3,15.3,36.4,43.9,6.8,328
"NH",5.5,10.4,29.7,54.4,6.5,352
"NJ",5.2,11.4,25.9,57.6,5.3,474
"NM",9.4,14.3,20.6,55.7,13.2,120
"NV",5.6,10.3,30.9,53.1,6.2,432
"NY",3.3,8.7,32.1,55.9,5,539
"OH",3.3,8.8,33.3,54.7,5,471
"OK",4.5,14.7,36.7,44.1,5.8,424
"OR",5.8,9.5,32.8,51.9,5.4,443
"PA",7.8,11.2,31.5,49.4,5,463
"RI",5.7,9.4,30.3,54.6,7.2,295
"SC",3.8,12.4,29.8,54,5.6,431
"SD",4.5,30.1,34.2,31.2,9.2,178
"TN",6.3,11.9,33.8,48,5.6,432
"TX",4.4,13.1,32.2,50.2,5.4,533
"UT",6.5,19.3,36,38.2,5.8,408
"VA",4.7,10.6,33.2,51.5,5.2,470
"VT",4.2,12.5,24.4,58.9,8.8,176
"WA",3.5,10.9,31.3,54.3,6.2,367
"WI",8.1,14.4,29,48.5,5.4,434
"WV",3.3,13.5,27.4,55.8,6.3,357
"WY",8.2,19.1,42.1,30.6,10.8,145
