How concerned, if at all, do you currently feel about the following: - Problems with childcare during  the virus outbreak 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",12.3,10.3,10.3,11.6,55.4,0.9,19335
"AK",12.8,13.6,10.6,13.4,49.7,14.4,91
"AL",13.5,9,14.2,16,47.3,5.8,416
"AR",13.4,7.9,9.8,14.3,54.6,6.1,422
"AZ",11.9,8.2,9.2,9,61.8,5.5,441
"CA",11.1,11.7,7.5,15.1,54.6,5,712
"CO",12.7,12.9,7.9,8.3,58.1,5.5,440
"CT",11.6,11.2,8.5,10.9,57.8,6.1,321
"DC",11.4,11,11.3,14.5,51.8,13.1,96
"DE",11.8,8.4,8.6,11.1,60.1,7.6,301
"FL",10.2,9.2,8,11.9,60.7,5.3,519
"GA",12.3,12,14.3,12.8,48.6,5.4,458
"HI",13.2,10.2,12.5,14.5,49.6,7.9,240
"IA",11.4,14.6,10.2,7.3,56.6,5.6,431
"ID",15.9,11,8.4,9.7,54.9,6.6,319
"IL",10.9,10,9,12.7,57.4,5.6,468
"IN",13.5,9.1,9.5,10.3,57.6,5.5,452
"KS",13.2,13.5,11.5,10,51.8,6.1,443
"KY",12.3,10.4,9.8,11.7,55.8,5.4,424
"LA",15.4,7.6,11.3,12.4,53.4,6.2,412
"MA",11.1,10.9,12.2,11.3,54.6,5.3,436
"MD",13.2,7.6,10.3,12.3,56.5,6.3,367
"ME",11.3,12.2,7.7,6.5,62.4,5.9,321
"MI",13.1,7.6,8.1,10.4,60.9,5,478
"MN",13.3,8.3,11.8,8,58.6,5.2,444
"MO",11.2,10.2,9.9,9.1,59.5,5.4,418
"MS",14.6,12.5,6.5,11.8,54.6,6.7,381
"MT",16.1,9.8,6.1,7.9,60.1,7.5,214
"NC",14.3,11.2,11.1,9.7,53.7,5.1,447
"ND",19.2,21.3,8.3,5.1,46.1,11.1,164
"NE",14.1,16,7.5,9.6,52.9,6.8,328
"NH",10.6,9.6,9.3,6.4,64.2,6.3,351
"NJ",14.2,9.3,7.6,16.4,52.5,5.4,472
"NM",9,4.3,21.9,8.9,55.9,13.1,119
"NV",8.1,12.3,8.5,11.7,59.4,6.1,430
"NY",8.9,10.4,11.8,14.2,54.7,5,532
"OH",14.7,8.6,6.2,12.4,58.1,4.9,474
"OK",21.6,9.1,9.6,12,47.7,5.9,423
"OR",13.5,12.6,8.1,6.5,59.4,5.3,438
"PA",13.2,11.2,12.4,8.8,54.4,5,466
"RI",8.3,8.6,10.9,8.8,63.3,6.9,297
"SC",9.8,13.3,11.7,6.5,58.6,5.5,433
"SD",15.4,14.6,10.4,5.4,54.2,9.6,180
"TN",11.6,8.7,11.1,11.5,57.2,5.5,431
"TX",11.6,11,16.3,17.1,43.9,5.4,535
"UT",13.7,14.8,9.3,7.6,54.5,6,409
"VA",14,9.6,10.4,9.8,56.3,5.2,466
"VT",10.4,10.1,9.6,9.6,60.4,8.8,175
"WA",10.4,6.3,12.5,8.3,62.4,6.1,365
"WI",19.8,12.3,5.6,6.6,55.7,5.3,435
"WV",10.2,13.2,10.7,13.6,52.4,6.4,355
"WY",18.4,6.8,11.9,3,60,10.7,145
