In the last 24 hours, how many people who are not part of your household did you meet face-to-face? 
"","0","1","2","3","4-9",">9","Error Margin","N"
"AK",35.9,5.4,22.4,19.9,7.9,8.5,13.9,91
"AL",37.3,18.1,14,8.7,14.6,7.4,5.6,418
"AR",36.5,16.2,12.7,6.5,18.6,9.5,5.8,424
"AZ",42.3,14.5,13.4,9.2,10.4,10.2,5.6,442
"CA",47.5,13.7,15.1,7.1,10.8,5.9,5,717
"CO",46.8,14.6,13.5,7.4,11.5,6.2,5.6,440
"CT",44.5,16.2,13.4,9.2,11.6,5.1,6.2,322
"DC",51.8,18.9,7.5,7.6,4.8,9.4,12.9,100
"DE",45.4,12.9,13.8,7.8,15.4,4.8,7.6,303
"FL",47.8,13.4,13.4,8.2,12.4,4.8,5.4,520
"GA",50,11.5,12.2,9.1,12.8,4.5,5.4,459
"HI",39.4,18.5,12.4,8.3,14.6,6.8,7.7,241
"IA",41,14.2,11.8,7.2,17.5,8.4,5.5,435
"ID",35.2,13.5,15.3,11.2,14.5,10.3,6.4,318
"IL",48,15.5,12,6.1,10.8,7.5,5.7,469
"IN",44.6,13,12.9,7.6,15,6.9,5.5,453
"KS",33.8,17.7,17.9,6.5,17,7.2,5.8,441
"KY",43.8,13.4,15.4,9.5,11.2,6.7,5.4,426
"LA",37.3,15,16.5,7.4,14.2,9.6,6,416
"MA",46.9,13,16.9,5,12.2,6,5.3,439
"MD",53.6,12.9,11.9,5.2,12.2,4.2,6.4,367
"ME",40,16.5,14.9,7.5,14,7.1,6,321
"MI",54.4,14.6,12.1,5,9.2,4.8,5.1,481
"MN",44.5,11.1,14.6,7.6,14.6,7.5,5.3,444
"MO",38.6,14.9,14.8,7.9,15.2,8.5,5.3,425
"MS",39.6,11.4,18.1,6.9,14.9,9.1,6.6,380
"MT",28.4,8.3,13.8,7.9,28.6,13,6.9,214
"NC",43.1,13.7,11.4,8.3,14.2,9.3,5.1,449
"ND",22.3,13,17.5,9.4,19.9,17.8,9.3,164
"NE",34.2,12.8,13.3,12.1,14.1,13.5,6.5,328
"NH",38.2,16.4,15.6,7.5,14.4,8,6.4,350
"NJ",55.7,14.4,14.2,4.9,6.6,4.2,5.3,475
"NM",32.3,10,15.3,7.3,27.1,8,12.4,121
"NV",43.8,15.2,14.6,8.2,11.9,6.3,6.1,435
"NY",53.6,14.1,11.3,4.6,12.4,4,5,538
"OH",47.1,12.4,13.7,7.8,11.2,7.8,4.9,475
"OK",32.4,11.1,18,8.4,20,10.2,5.5,426
"OR",41.2,13.6,16.4,8.7,11.2,9,5.3,443
"PA",47.1,16.5,11.2,6,13.2,6.1,5,466
"RI",41.2,17.7,17.3,7.9,12,3.8,7.1,297
"SC",38.1,13,15.4,9.2,16.7,7.7,5.5,434
"SD",25.5,9,14.9,10.4,25.8,14.4,8.4,181
"TN",41.1,15.1,14.9,7.1,15.5,6.2,5.4,436
"TX",45,20.8,10.3,5.4,13.3,5.1,5.4,537
"UT",30.9,17.3,17.6,8.2,15.7,10.3,5.5,411
"VA",48.6,11.4,13.1,7.3,14.5,5,5.2,467
"VT",43.1,11.9,13.4,9.2,13.4,9,8.9,176
"WA",45,13.1,14.7,9.8,10.3,7.1,6.2,364
"WI",38.5,18.4,13.8,8.1,15.4,5.8,5.2,436
"WV",44.4,14.7,13.3,8.2,9.1,10.2,6.3,363
"WY",32.6,11.3,15.4,10.5,15.2,14.9,10.3,145
