How concerned, if at all, do you currently feel about the following: - Problems with your education or the education of your children 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",9.3,10.2,17.9,18.3,44.3,0.9,19344
"AK",6.5,14.9,18.8,9.7,50,14.3,92
"AL",11.3,10,20.7,23,35,5.5,417
"AR",13.1,8.8,18.5,16.8,42.8,6,423
"AZ",11,7.3,17.4,16.6,47.7,5.6,441
"CA",7.3,9.9,15.5,23.2,44.1,5,714
"CO",8.5,12.7,16.8,14.7,47.3,5.6,438
"CT",6.8,10.4,19.4,16,47.3,6.2,320
"DC",9.5,8.3,11.4,26.9,43.9,13,98
"DE",10.7,8.4,14.3,18.9,47.7,7.7,301
"FL",9.3,9.8,14.4,17.6,49,5.4,517
"GA",10.5,9.4,17.4,25.2,37.6,5.2,461
"HI",7.2,13.1,12.2,23.6,43.9,7.8,241
"IA",9.6,12.8,17.4,12.7,47.6,5.7,428
"ID",9.7,14.8,18.9,16,40.5,6.5,318
"IL",9.1,8.2,19.1,18.8,44.7,5.6,468
"IN",8,10.4,20.9,18.4,42.4,5.5,452
"KS",12,15.3,16.7,14.4,41.6,6,443
"KY",11.3,7.8,15.7,19.6,45.6,5.4,425
"LA",8.8,8,16.4,22.7,44,6.2,413
"MA",7.5,10,20.6,20.2,41.7,5.2,431
"MD",8.7,8.9,16.8,22.4,43.1,6.3,368
"ME",11.3,11.5,14.4,13.2,49.5,6.1,322
"MI",6.7,12.7,17.9,15.1,47.6,5.2,479
"MN",8.2,10.5,17,13.2,51.1,5.3,445
"MO",11.9,7.4,17.3,14.8,48.5,5.4,424
"MS",10.2,8.6,18.4,23.2,39.6,6.6,379
"MT",12.5,13.4,17.2,12.3,44.5,7.6,213
"NC",8.5,10.6,20.4,16.7,43.9,5.1,448
"ND",17.1,18.8,16.1,12.9,35.1,10.6,164
"NE",11.2,11.6,17.2,19.5,40.4,6.7,329
"NH",4.8,9.9,18.3,14.4,52.5,6.5,351
"NJ",8.9,13.1,17.9,18.7,41.4,5.3,467
"NM",9.9,5.5,27.8,8.5,48.3,13.3,118
"NV",11.5,10.9,14.3,16.7,46.5,6.1,432
"NY",6.9,9.9,18.9,20.5,43.8,5,538
"OH",9.6,9,16.8,17.6,47,5,470
"OK",16.1,8.5,19.5,20.6,35.4,5.6,421
"OR",10.6,10.2,16.7,15.6,46.9,5.4,442
"PA",9,12.1,20.3,18,40.6,4.9,464
"RI",5.8,10.5,19,12.8,52,7.2,297
"SC",9.2,11.2,13.2,16.6,49.8,5.6,432
"SD",11.3,22.5,14.6,16.6,34.9,9.1,181
"TN",9.8,7.3,15.2,19.8,47.8,5.6,429
"TX",10.7,9.2,21.2,23.1,35.9,5.2,534
"UT",10.4,12.4,25.3,17,34.9,5.7,411
"VA",8.9,9.4,18.3,20,43.4,5.2,467
"VT",5.1,11.4,17.6,14.4,51.5,9,174
"WA",7.8,10.6,18,15.4,48.2,6.2,366
"WI",12.3,12,19.1,12.5,44.1,5.3,435
"WV",7.5,12.2,18.2,16.2,45.8,6.3,359
"WY",17.1,11.1,15.4,9,47.4,11,144
