Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Closing K-12 schools 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",2.9,5.4,19.8,71.8,0.8,19341
"AK",3.1,4.5,28.4,64,13.9,91
"AL",1.1,3.5,25.7,69.7,5.3,417
"AR",4,6.7,20.9,68.4,5.7,420
"AZ",3.6,7.2,21.8,67.4,5.3,440
"CA",3.4,6.9,21.1,68.6,4.7,717
"CO",4.4,6.3,25.9,63.5,5.4,440
"CT",0.7,4.9,17.6,76.8,5.2,322
"DC",1.4,7.2,17.5,73.9,11.4,100
"DE",2.4,2,23.6,72,6.9,302
"FL",4,3.6,17.1,75.2,4.7,520
"GA",4,4.8,15.2,76,4.6,457
"HI",2.7,4.9,19.9,72.4,7.1,241
"IA",3.3,8.2,21.1,67.4,5.3,433
"ID",6,9.8,26.6,57.6,6.6,318
"IL",3.8,4.3,20.2,71.7,5.1,468
"IN",2,5.7,17.6,74.6,4.8,451
"KS",4.1,8.1,18,69.8,5.7,439
"KY",0.7,5.5,13.1,80.7,4.3,424
"LA",5.2,6.3,14.3,74.2,5.4,412
"MA",2.1,4,15.8,78.2,4.4,434
"MD",1.4,4,15.7,79,5.2,367
"ME",2.3,4.7,13.6,79.4,5,319
"MI",3.2,3.9,17.8,75.1,4.5,479
"MN",3,8.2,25.6,63.2,5.1,442
"MO",3.9,6.3,23,66.8,5.1,422
"MS",2.5,5,18.7,73.8,5.9,382
"MT",4.6,8.9,20.2,66.4,7.3,213
"NC",3,7.3,18.4,71.3,4.6,448
"ND",5.3,4.5,24,66.1,10.5,165
"NE",1.8,7.8,22.5,67.8,6.4,327
"NH",3.7,3.4,18.6,74.3,5.7,351
"NJ",1.9,5.3,15.1,77.8,4.5,472
"NM",0,7.6,19.6,72.8,11.8,121
"NV",3.7,6.5,22.8,67.1,5.8,430
"NY",2.2,3.5,17.1,77.1,4.2,539
"OH",2.3,4.3,15.5,77.9,4.1,470
"OK",2.3,7.3,24.4,66.1,5.6,424
"OR",3.2,5.6,23,68.2,5,440
"PA",3.5,6.3,18.3,71.9,4.5,460
"RI",4.1,5,18.6,72.2,6.5,295
"SC",3.7,4,20.2,72.1,5,433
"SD",0.8,7,34.9,57.4,9.6,178
"TN",3,5.9,19.8,71.3,5,432
"TX",2.4,3,20.7,73.9,4.8,535
"UT",4.2,7.6,24,64.2,5.7,409
"VA",4,6.9,18.9,70.2,4.8,468
"VT",1.3,8.2,17.4,73.2,8,176
"WA",1.6,6,22.5,69.9,5.7,366
"WI",5.6,6.2,20.4,67.8,5,431
"WV",2.2,3.2,14.9,79.7,5.1,356
"WY",6.2,14.6,26.4,52.7,11,145
