In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","CNN","Fox News","MSNBC","President Trump’s press briefings","Error Margin","N"
"National",33.5,36.2,17.4,41.4,0,3216
"AK",30.3,40.1,12.1,39.4,14.6,92
"AL",25.6,45.3,16,44.7,5.8,420
"AR",28.7,35.5,13.3,44.2,6.1,425
"AZ",29.3,41.6,17.7,39.4,5.6,442
"CA",37.8,35.7,22,36.1,4.9,720
"CO",29.3,32.3,14.1,39.6,5.5,443
"CT",36.7,31.7,15.6,40.6,6.1,323
"DC",48.1,44.6,19.3,27.9,13,102
"DE",35.8,38.5,16.9,35.7,7.5,304
"FL",36,36.5,18.9,43.9,5.4,522
"GA",34.1,41.6,16.5,41.2,5.3,462
"HI",41.7,31.4,21.5,33.3,7.7,242
"IA",26.9,27.9,16.4,39.4,5.5,436
"ID",29.3,33.1,14.4,37.5,6.5,320
"IL",30.1,33.8,17.4,41.5,5.6,470
"IN",32.1,34,14.4,43.3,5.5,454
"KS",34.3,33,21.5,40.3,6,444
"KY",27.5,35.9,11.8,44.8,5.4,426
"LA",27.2,36.9,13.2,45.5,6.2,418
"MA",38.3,32.8,20,44.6,5.3,441
"MD",39.4,38.2,15.2,42.7,6.4,369
"ME",25.9,31,16.6,45.8,6.1,322
"MI",27.1,38.6,19.8,43.3,5.2,482
"MN",29.5,32.3,15.4,41.2,5.2,445
"MO",24.7,35.8,14.6,42.3,5.4,425
"MS",34.9,39.4,23.7,48,6.8,383
"MT",21.5,30.3,16,41.8,7.6,214
"NC",33.6,36.3,17.6,43.8,5.1,450
"ND",20.4,32.1,20.8,52.1,11,165
"NE",27.1,31,14.1,42.5,6.8,329
"NH",32.9,28.1,13.6,47,6.5,352
"NJ",37.2,36.9,12.8,40.7,5.3,476
"NM",26.2,26.7,15.8,41.3,13.4,121
"NV",36.3,37.3,24.4,38.9,6,437
"NY",41.8,37,17.5,39.1,4.9,542
"OH",26.6,35.3,13.3,46.2,4.9,477
"OK",24.4,40.4,12.9,45.3,5.9,426
"OR",29.9,26.8,20.5,31,4.9,443
"PA",36.5,32.4,19.2,40.4,4.9,467
"RI",37.2,37.9,23.8,43.3,7.2,298
"SC",34.3,34,15.3,44.8,5.6,434
"SD",27.5,32.8,13.4,31,8.9,182
"TN",33.7,40.3,16.1,44.5,5.5,436
"TX",35,39.9,16.5,42.8,5.3,538
"UT",26.3,38.8,12.4,34.7,5.9,411
"VA",40.1,35,19.4,38.9,5.1,471
"VT",40.8,32.1,19.9,27.1,8.8,176
"WA",40.2,29.5,23.4,32.3,6.2,368
"WI",28.5,32.7,14.1,41.2,5.2,436
"WV",28.8,37,12.9,48.7,6.3,363
"WY",25.5,31.3,18.9,32.1,10.2,145
