Race recoded 
"","White","Hispanic","African American","Asian","Other race","Error Margin","N"
"National",65,14.6,12,5.9,2.5,0.9,19489
"AK",61.3,7.1,3.3,6.3,22,13.9,92
"AL",68,2.9,25.3,1.3,2.5,5.4,420
"AR",74.6,5.5,15.1,1.6,3.2,5.3,425
"AZ",59,27.5,4.2,3.4,5.9,5.5,442
"CA",38.8,35.9,5.8,15.9,3.6,4.9,720
"CO",69.9,19.7,3.9,3.2,3.2,5.1,443
"CT",67.9,15.3,9.8,4.5,2.6,5.8,323
"DC",39.5,10.7,42.9,4,3.1,12.6,102
"DE",64,7.8,21.5,3.8,2.8,7.4,304
"FL",56,22.6,15.9,3.1,2.4,5.4,522
"GA",54.6,8.6,30.2,4,2.6,5.3,462
"HI",22.1,10.7,2,38.4,26.8,7.7,242
"IA",87.2,5.4,3,2.3,2.2,3.8,436
"ID",85,9.6,0.6,1.5,3.4,4.7,320
"IL",61.6,16.5,14.2,5.5,2.1,5.5,470
"IN",79.8,6.4,9.3,2.2,2.3,4.4,454
"KS",77.4,10.3,5.9,2.8,3.6,5.1,444
"KY",85.5,3.5,7.6,1.1,2.3,3.8,426
"LA",59.1,5,31.4,1.8,2.6,6.1,418
"MA",74.3,10.4,6.7,5.8,2.7,4.6,441
"MD",52.8,8.3,29.2,6.4,3.3,6.4,369
"ME",94.2,1.6,1.2,0.7,2.3,2.9,322
"MI",76.2,5,12.8,2.9,3.1,4.4,482
"MN",81.3,4.8,5.8,4.6,3.5,4.1,445
"MO",80.3,3.4,11.4,1.9,3,4.3,425
"MS",58.1,3.1,35.8,1,2,6.6,383
"MT",87.1,3.7,0,0.9,8.3,5.1,214
"NC",64.9,9.3,19.7,3.2,3,4.9,450
"ND",89.1,3.8,2.8,1.3,3,6.9,165
"NE",81.4,8.5,4.7,2.3,3.1,5.3,329
"NH",90.3,3.7,1.3,2.7,2,3.9,352
"NJ",57.9,18.3,12,9.4,2.3,5.3,476
"NM",42.7,42.3,2.1,1.7,11.2,13.1,121
"NV",52.5,25.1,8.9,8.2,5.2,6.1,437
"NY",56.5,18,14.1,8.6,2.8,5,542
"OH",78.6,3.8,12.5,2.2,2.8,4.1,477
"OK",67.6,9.5,7.1,2.1,13.7,5.5,426
"OR",77,11.8,1.8,4.3,5.2,4.5,443
"PA",76.7,7.2,10.6,3.4,2.2,4.2,467
"RI",74.4,14.1,4.7,3.3,3.5,6.3,298
"SC",65.4,4.7,26,1.5,2.5,5.3,434
"SD",83.6,3.9,2,1.6,8.9,7.1,182
"TN",76.4,4.8,14.4,1.8,2.5,4.7,436
"TX",44,36.5,12.2,4.9,2.3,5.4,538
"UT",80.3,12.1,1.1,2.4,4.1,4.7,411
"VA",62,9.2,18.9,6.3,3.5,5,471
"VT",93.1,2,1.1,1.5,2.3,4.6,176
"WA",71.2,11.3,3.7,8.5,5.3,5.6,368
"WI",83.3,6.6,6,2.8,1.4,4,436
"WV",90.2,1.5,3.6,0.8,3.8,3.7,363
"WY",85.8,8,0.9,0.9,4.4,7.7,145
