How concerned, if at all, do you currently feel about the following: - Getting coronavirus yourself 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",11.3,20.4,35.7,30.7,1.9,0.9,19419
"AK",17.4,26.6,25.8,29.6,0.6,13.1,92
"AL",12.8,18.9,39.1,27.9,1.2,5.6,420
"AR",16.6,21.6,33,25.9,2.9,5.7,422
"AZ",13,21.6,33.6,28.6,3.1,5.3,440
"CA",8.4,14.6,32.4,41.9,2.7,5,718
"CO",17.5,26.7,31.2,22.2,2.5,5.2,441
"CT",7.8,16.5,38.1,37.2,0.5,6,321
"DC",4.2,15.3,40.6,38.3,1.6,12.6,100
"DE",6.5,19.9,39.3,31.2,3.1,7.5,303
"FL",11.3,16.2,32,38.8,1.7,5.3,520
"GA",7.8,18.7,36.1,34.7,2.6,5.2,459
"HI",9.4,18.4,27.7,43.6,1,7.9,240
"IA",11.9,28.9,36.8,20.5,2,5.4,434
"ID",16.2,23.8,36.8,21.4,1.9,6.4,320
"IL",9.7,20.7,36.9,30.1,2.7,5.5,469
"IN",11.5,21.3,40.2,26.1,0.9,5.4,453
"KS",10.9,27.4,35.4,25.9,0.4,5.9,443
"KY",11.9,21.4,35.1,29.7,1.9,5.2,426
"LA",11.9,20.4,33,33.5,1.2,5.8,418
"MA",6.6,17,40.9,33,2.5,5.2,436
"MD",6.8,19.9,38.4,34.4,0.5,6.2,369
"ME",10.2,21.4,40.3,27.8,0.4,6,321
"MI",10.2,18.5,35.4,33.8,2.1,4.9,479
"MN",14.8,25.4,39,20.6,0.2,5.2,442
"MO",14.3,27.4,38.8,18,1.5,5.3,424
"MS",10.3,24.3,34.9,27.2,3.3,6.4,381
"MT",19.1,29.7,31.8,17.4,2,7.1,214
"NC",12.7,21.6,35.3,28.7,1.9,4.9,447
"ND",18.1,27.1,40.9,12.5,1.4,10.9,164
"NE",17,24.9,34.8,20.1,3.2,6.5,329
"NH",10.1,25.2,40.6,22.9,1.2,6.4,352
"NJ",8.7,19.3,33.7,36.5,1.8,5.2,472
"NM",16.6,8.8,49.4,25.2,0,13.2,120
"NV",9.4,19.3,39.3,29.9,2.1,6,435
"NY",6.8,14.3,33.5,43,2.4,5,540
"OH",12,18.4,35.5,31.5,2.7,4.7,475
"OK",15.3,25.6,33.4,24.6,1.1,5.5,426
"OR",11.5,28.2,38.7,20.4,1.1,5.3,441
"PA",12.1,18.2,35.8,33.5,0.4,4.8,466
"RI",9.5,15.3,39.5,34.5,1.3,7,298
"SC",11,24.9,35.8,26.2,2.1,5.4,433
"SD",6.3,34.5,35.9,22.2,1.2,9.2,180
"TN",12.5,18.3,38.5,28.9,1.9,5.4,434
"TX",11.2,15.3,35.6,36.7,1.2,5.2,536
"UT",15.6,28.7,33.6,20,2.2,5.6,411
"VA",10.6,16.3,34.8,35,3.2,5,471
"VT",8.6,24.4,37.5,28.8,0.7,8.7,176
"WA",10.1,22.8,41.4,23.8,2,6.1,367
"WI",14.5,27,33.7,24.2,0.6,5,436
"WV",11.5,17.9,36.7,32.9,1,6.1,360
"WY",30.2,25.5,34.1,9.8,0.4,10.4,145
