Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Limiting restaurants to carry-out only 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",6.2,10.2,25.9,57.7,0.9,17952
"AK",15.2,8.8,42.8,33.1,13,103
"AL",7.5,12.6,23.8,56,7,354
"AR",8.5,14.5,31.3,45.7,7.3,295
"AZ",8,10.7,21.7,59.6,5.4,475
"CA",5.9,10.4,24,59.7,4.1,865
"CO",11.2,11.4,26.2,51.2,5.9,387
"CT",6.4,10.2,23.8,59.7,8.4,241
"DC",1.8,10.8,23.3,64,12,119
"DE",8.3,6.5,19.6,65.6,7.1,258
"FL",6.7,12.3,25.8,55.3,4.8,605
"GA",5.9,8.7,26.5,58.9,5.8,428
"HI",4.9,5.1,26,64,7.5,271
"IA",4.6,10.9,30.1,54.5,7.5,241
"ID",11,16.6,27.4,45,6.1,366
"IL",7.7,13.2,23.4,55.6,4.7,516
"IN",5.8,8.6,27.6,58,6.1,373
"KS",5.1,10.2,27.6,57.1,7.7,237
"KY",6,8.7,25.4,59.9,6.7,327
"LA",6.5,7.1,27.2,59.2,6.7,358
"MA",3.8,8.4,25.4,62.5,5.3,433
"MD",4.4,8.3,22.5,64.8,5.7,397
"ME",6.8,11.6,26.3,55.2,5.8,368
"MI",6.4,10.2,26.3,57.1,5.2,478
"MN",7.3,15.8,24.9,51.9,6.6,335
"MO",5.6,13,29.9,51.5,5.6,445
"MS",8.2,6.7,26.6,58.5,9.1,229
"MT",11.8,18.2,30.8,39.3,11.4,127
"NC",6.4,9.9,24.7,58.9,5.3,506
"ND",6.1,11.8,29.6,52.5,9.2,211
"NE",6.4,8.8,23.2,61.6,9.7,159
"NH",5.7,8.2,16.7,69.3,5.6,351
"NJ",3.7,7.1,27.8,61.4,4.7,526
"NM",11.8,19.7,20.8,47.7,11.3,162
"NV",12.5,8.9,25.1,53.5,7.6,280
"NY",3,9.3,23.1,64.6,4.5,614
"OH",8.4,10.7,28.8,52,5.2,476
"OK",9.6,11.2,28.8,50.4,7.4,286
"OR",7.8,12.7,21.8,57.7,5.5,408
"PA",6.5,13.6,25.2,54.7,4.6,542
"RI",1.9,9.3,24,64.8,8.8,176
"SC",7.4,11.4,23.9,57.3,6.3,346
"SD",4.5,17.8,27,50.7,9,177
"TN",7.7,11.6,26.4,54.2,5.8,391
"TX",3.9,9.5,26,60.7,4.9,617
"UT",4.6,12.9,27.6,55,8.2,268
"VA",6.5,10.2,23.9,59.4,5.1,454
"VT",3,8.5,22.6,65.8,8.5,162
"WA",6.7,11.9,25,56.4,5.1,493
"WI",8.9,9.8,26.1,55.2,5.8,415
"WV",7.7,4.8,24.7,62.8,9.1,194
"WY",9.3,20.6,29.1,41.1,11,107
