Household income range 
"","NA","Under 15K","15K to under 25K","25K to under 35K","35K to under 50K","50K to under 75K","75K to under 100K","100K to under 150K","150K to under 200K","Over 200K","Error Margin","N"
"National",27.1,8.2,9.5,8.3,9.6,13.5,11.7,7.5,2.5,2.1,0.8,18103
"AK",2.3,11,16.4,8.7,13.4,13.8,17.4,8.6,0.6,7.7,9.9,104
"AL",26.2,10.4,13.7,11.8,10,13.5,6.9,4.7,0.9,2,6.1,356
"AR",31.8,8.4,14.1,8.6,10.3,12.5,7.4,5.2,0.4,1.3,6.8,297
"AZ",27.1,5.5,7.8,7.2,11.1,18.5,11.9,7,1.5,2.5,4.9,477
"CA",13.3,8.4,7.7,6.5,8.9,13.5,26.4,9.8,3.1,2.3,3.7,877
"CO",39,7.6,6,6.3,8,11.5,10.3,4.1,4.6,2.8,5.7,390
"CT",30.2,4.9,9.9,7.4,5.7,12.3,9.3,10,5.9,4.5,7.9,243
"DC",31.2,11,0.4,9.4,10.6,7.5,6.2,10.3,4.8,8.6,11.5,120
"DE",15.5,7.2,14.4,7.1,7.8,19.3,15,10.6,1.6,1.6,5.8,263
"FL",15.3,7.3,6.9,10.6,12.7,19,17,6.9,1.7,2.6,3.8,607
"GA",30.2,8.8,11,5.5,9.9,11,10.3,8.6,1.9,2.8,5.3,433
"HI",17.1,5.7,4.5,12.6,8.8,16.8,17.7,9.9,3.9,3.1,6,272
"IA",38,8,9.7,13.1,6.5,9.9,8.3,3.6,2,1,7.2,244
"ID",14.8,13.6,12,9.2,13.7,15.4,9.9,8,1.8,1.6,4.4,370
"IL",29,6.5,5.7,8.6,6.4,15.6,13.9,9.9,2.5,1.8,4.3,521
"IN",38,5.7,8.4,10.9,7.3,13.2,7.3,5.5,2.2,1.6,5.9,378
"KS",40.6,10.6,7.8,5.9,7.5,9.4,6.5,7.6,2.7,1.4,7.6,240
"KY",33.9,9,9.9,11.2,10.9,12,4.6,6.7,1.1,0.9,6.4,331
"LA",27.2,8.7,15.5,9.6,5.7,15.3,8.3,7.3,1.1,1.4,6,361
"MA",29.8,7.6,7.8,3.8,7.8,13,11.6,10.9,3.6,4.1,5,437
"MD",38.3,4.6,5,7.9,7.2,13.7,10.4,7,3.7,2.3,5.8,399
"ME",12.4,13,10.7,13.7,16.6,15.4,8.4,7.1,1.8,0.9,4.3,370
"MI",41,9.5,6.3,6.6,10.3,12,8.6,4.2,0.5,1,5.2,482
"MN",33.9,6.9,7.3,7.8,9.7,13.2,8.6,8.2,1.6,2.9,6.2,338
"MO",36.8,8.8,9.9,10,6.6,10.9,9,5.2,1.9,1,5.4,454
"MS",24.9,18,14.9,3.8,14.9,8.2,7.1,5.2,1.4,1.7,7.9,230
"MT",26.7,4.4,9.5,12.9,9.7,14.1,15.6,4.8,2,0.3,10.2,130
"NC",34.8,6.8,9.1,8.1,11.6,11.7,9.7,6.1,1.2,0.9,5.1,512
"ND",21.8,11.7,7.8,6,11.9,16.4,7.7,13.5,2.2,1,7.6,212
"NE",23.4,9.4,13.4,17.1,6,10.8,9.7,8,1.2,1.1,8.4,159
"NH",12.2,9.2,8.7,10.3,12.4,16.2,12.8,12.1,3.3,2.9,4.4,351
"NJ",28.1,5.8,5.4,4.7,9.6,16,13.8,10.6,3.6,2.2,4.3,529
"NM",30.9,12.2,13.9,7.3,10.2,10.6,9.7,2.9,1.1,1.1,10.4,163
"NV",26.1,6.7,8.8,9.5,9.8,15,11.3,9.5,2,1.4,6.6,282
"NY",15.3,7.3,12.2,8.3,8.3,12.9,16.8,9.9,4.8,4,3.5,620
"OH",35.6,10.4,8.2,6.8,9.3,15.2,6.3,4.2,1.4,2.5,5,479
"OK",38.4,9.2,9.5,6.8,7.5,9.8,8.3,5.7,2.7,2,7.2,288
"OR",33.8,9.5,7.4,6,14.4,13.3,6.1,4.1,3.6,1.9,5.2,412
"PA",28.4,7.2,10.2,7.2,11,11.8,12.7,7.1,2.5,1.9,4.1,545
"RI",17.7,14.9,6.7,4.5,9.7,18.7,11.9,9,3.5,3.4,7.2,178
"SC",23.7,10.8,9.2,10.3,12.5,16.2,9,6.9,0.3,1,5.4,347
"SD",20.3,9.2,11.9,10.5,12.5,10,14,8.1,1.5,1.9,7.3,178
"TN",33.5,6.6,11.4,8.3,10.6,11.6,9.6,4.1,1.8,2.4,5.5,391
"TX",21.6,7.3,9.7,6.8,7.5,13.2,21.5,7.9,2.9,1.7,4.1,621
"UT",35.9,9.9,8.1,10.1,11,10.6,6.6,6.9,0.7,0.2,7.8,274
"VA",30.5,6.3,9.2,7.1,8.5,13.3,11.4,6,6.3,1.4,4.7,455
"VT",17.4,7.1,17.8,5.5,12.5,10.6,12.2,14,2.1,1,6.8,163
"WA",37,7.7,6.1,8.8,9.6,9.4,6.8,9.3,3.2,2.1,4.9,496
"WI",24.7,5.2,10.7,13.9,13,12.5,9.8,7.7,2.2,0.2,5.1,420
"WV",31.8,8.5,17.6,8.7,10.3,13.4,5.1,2.5,1,1.1,8.7,196
"WY",13.6,11.8,8.7,7.9,18.6,14.8,13.4,5.4,3.9,1.9,8.7,108
