Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Closing K-12 schools 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",6.6,9.6,23.1,60.7,0.9,17954
"AK",9.7,21.4,30.8,38.1,12.7,104
"AL",9.5,7.1,20.3,63.1,6.8,354
"AR",7.8,14.4,23.2,54.5,7.3,295
"AZ",8.6,8.4,22.7,60.3,5.4,474
"CA",5.2,12.1,22.2,60.5,4.1,863
"CO",8.6,12.6,24.1,54.8,5.9,386
"CT",5,6.8,18,70.2,7.8,242
"DC",1.1,4.1,34.2,60.7,12.2,119
"DE",9.1,8.4,18.8,63.7,7.1,260
"FL",4.5,11.5,25.1,59,4.8,604
"GA",7.6,8.3,22.3,61.8,5.7,426
"HI",4.1,5.8,28,62,7.6,272
"IA",6.2,9.1,29.7,55,7.5,241
"ID",11.6,16.6,24.2,47.5,6.1,364
"IL",8,10.3,24.2,57.5,4.7,517
"IN",5.3,11.8,24.1,58.8,6.1,374
"KS",7.1,13.9,18.6,60.4,7.6,237
"KY",7.4,6.4,27.1,59.1,6.7,329
"LA",7,10.1,23.5,59.4,6.7,356
"MA",5,5.4,21.6,68,5.1,433
"MD",5.2,6.3,22.5,66,5.7,397
"ME",6.3,9.8,24.3,59.6,5.7,369
"MI",5.6,11.4,19,64,5.1,477
"MN",5.5,11.9,29.3,53.4,6.6,336
"MO",6.2,12.1,26.3,55.4,5.6,446
"MS",8.3,8.8,19.6,63.3,8.9,229
"MT",10.9,11.2,28.3,49.7,11.5,130
"NC",7.2,10.6,20.2,62,5.3,506
"ND",4.7,11.2,29.6,54.6,9.2,210
"NE",5.4,13.6,21.8,59.3,9.8,159
"NH",6.4,8.4,20,65.3,5.7,351
"NJ",3.5,8.4,19.1,68.9,4.4,528
"NM",14.2,14.3,25,46.5,11.2,162
"NV",9.6,12.1,20.7,57.6,7.5,280
"NY",6.2,8.9,17.4,67.5,4.4,617
"OH",10.9,9,22.5,57.6,5.2,475
"OK",12.2,11.6,24.2,52,7.4,287
"OR",8,13.8,22.1,56.1,5.5,409
"PA",7.8,9.3,26,56.9,4.5,542
"RI",3.5,7.7,27.4,61.5,9,177
"SC",7,7.5,25.6,59.9,6.2,343
"SD",7.2,16.6,24.2,52,9.1,176
"TN",6.1,11.9,24.2,57.8,5.7,390
"TX",4.7,9.8,21.4,64.2,4.8,616
"UT",3.8,10.7,27.9,57.6,8.1,269
"VA",8.3,8.3,20.7,62.7,5,452
"VT",4.4,9.2,14.4,71.9,8.1,162
"WA",7.2,10.5,24.8,57.5,5.1,491
"WI",9.5,7.8,25.2,57.6,5.8,418
"WV",5.9,7.6,16.7,69.8,8.6,193
"WY",11.9,16.1,23.8,48.2,11.2,107
