Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Cancelling major sports and entertainment events 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",5.2,9.6,22.3,63,0.9,17967
"AK",9.4,15.2,27.1,48.3,13.2,103
"AL",6.6,9.8,19.9,63.8,6.7,353
"AR",8.1,11.8,29.2,51,7.3,296
"AZ",6.5,9.4,19.9,64.2,5.3,473
"CA",3,8.6,21.7,66.7,4,864
"CO",8.6,11.1,22.9,57.3,5.8,387
"CT",3.9,10.9,19.4,65.9,8.2,239
"DC",3.3,3.4,19.8,73.6,11,119
"DE",6.8,8.4,15.4,69.4,6.9,258
"FL",4.6,9,26.2,60.1,4.8,605
"GA",6,6.7,23.7,63.6,5.6,428
"HI",1.7,6.8,20.4,71.1,7.1,271
"IA",5.9,12.2,23.7,58.2,7.4,242
"ID",10.4,12.4,24.9,52.3,6.1,367
"IL",6.4,9.3,24.2,60.1,4.6,516
"IN",4.1,9.4,23.5,63,5.9,377
"KS",3.5,10,24.7,61.9,7.5,238
"KY",6.2,8.7,23.2,62,6.6,330
"LA",6.9,12.6,19.4,61.2,6.6,357
"MA",3.6,7,19.5,69.8,5,433
"MD",3.4,8.4,21.4,66.8,5.7,394
"ME",5.5,9.3,25.7,59.4,5.7,368
"MI",5.3,9.6,20.4,64.7,5,480
"MN",3.8,10.3,27.6,58.3,6.5,336
"MO",6.3,9.8,24.4,59.5,5.5,446
"MS",9.1,6.5,20.2,64.2,8.8,229
"MT",10.8,16.7,25.9,46.5,11.5,129
"NC",5.5,8.2,22.6,63.7,5.2,507
"ND",5.8,10.5,28.8,54.9,9.2,210
"NE",5.5,11.2,19.2,64,9.6,158
"NH",5.1,6.2,17.2,71.4,5.5,350
"NJ",3.8,7.8,18.2,70.2,4.4,527
"NM",7.9,17.2,24.8,50.1,11.3,162
"NV",6.2,13.8,25.2,54.9,7.5,280
"NY",2.3,8.5,20.2,69,4.4,616
"OH",10.1,10.3,23.3,56.3,5.2,477
"OK",8.8,11.7,23.4,56.2,7.3,286
"OR",5.5,13.9,20.8,59.8,5.4,409
"PA",7.2,9.9,24.5,58.4,4.5,541
"RI",3.2,9.3,17.3,70.2,8.4,177
"SC",4.6,9,27.1,59.3,6.3,344
"SD",5.5,12.3,30.8,51.4,9,178
"TN",4.3,12.3,21.2,62.2,5.6,389
"TX",2.1,8.2,22.2,67.4,4.7,619
"UT",4.3,10.5,20.2,65.1,7.8,271
"VA",6.2,9.4,18.6,65.8,4.9,454
"VT",2.5,7.3,22.5,67.7,8.4,162
"WA",6.3,9.4,22.5,61.8,5,494
"WI",6,13.3,26.2,54.6,5.8,417
"WV",5,6.9,18.7,69.4,8.6,194
"WY",12.2,10.8,31.5,45.5,11.1,107
