In the last 24 hours, have you been in a room (or another enclosed space) with people who were not members of your household? This might have been at a social gathering, a work meeting, or another type of event. 
"","No, I have not","Yes, with 1-2 other people","Yes, with 3-4 other people","Yes, with 5-6 other people","Yes, with 7-8 other people","Yes, with 9-10 other people","Yes, with 11-50 other people","Yes, with 51-100 other people","Yes, with over 100 other people","Error Margin","N"
"National",65.4,15.6,7.3,4.2,1.9,2.1,2.6,0.6,0.4,0.9,18052
"AK",61.6,13.2,7.2,12.3,0,0.5,5.2,0,0,12.8,103
"AL",55.1,20.4,8.8,6.1,3.1,3,3.2,0.1,0.2,6.9,356
"AR",58.2,21.1,6.6,4.7,2,1.4,4.9,0.4,0.8,7.2,297
"AZ",62.8,16.9,8.2,4.3,1.3,2,3.2,0.2,1,5.4,477
"CA",72.3,14.7,5.4,2.8,0.5,1.1,1.8,0.6,0.6,3.8,875
"CO",63.5,14.3,7,6.4,3,2.7,2,0.7,0.3,5.7,388
"CT",73.7,14.2,4.8,2.1,1.6,1.6,1.1,0.2,0.8,7.5,243
"DC",76.1,7.6,10.2,3.5,0.8,1.4,0.2,0.3,0,10.6,120
"DE",76,9.7,6.7,4.6,0.6,0.6,1.7,0,0,6.3,262
"FL",65.2,12.3,9.3,3,2.8,3,3.3,0.3,0.8,4.6,604
"GA",60.8,19.8,5.3,3.1,1.6,2.8,4.8,0.4,1.3,5.7,431
"HI",66.3,15.6,4.2,7.2,2.8,0.7,2.6,0.5,0,7.4,272
"IA",56.8,21.6,9.1,6.2,1.2,2.2,2,0,0.8,7.4,244
"ID",56.8,13.8,9.9,4.6,4.5,4,3.8,1.7,0.9,6.1,369
"IL",71.7,11.6,5.6,5,2.5,1.6,1.1,0.3,0.6,4.2,518
"IN",63.4,16.2,6.3,5.6,1,1.1,3.9,1.1,1.4,5.9,377
"KS",59.3,19,7,5,3.4,0.8,3.6,1.4,0.5,7.6,238
"KY",63,20.2,5.6,4.8,1.7,2.2,2.5,0,0,6.6,331
"LA",60.4,17.3,8.4,4.9,2.2,2.4,3.5,0.6,0.4,6.6,361
"MA",69.5,15.2,5.6,2,2.1,1.5,3.3,0.8,0,5,435
"MD",71.7,13.6,5.1,4.3,2.3,1.5,0.9,0.5,0,5.4,399
"ME",65.8,15.3,12.1,2.1,0.3,0.9,2.6,0.7,0.1,5.5,370
"MI",64.4,19.3,6.1,3.5,2.3,1.1,2.5,0.7,0,5,481
"MN",65,16.2,11.8,2.4,1.2,1.2,2.1,0,0.2,6.3,337
"MO",60.4,12.9,8.6,6.1,2.1,4.4,4.5,0.5,0.4,5.4,453
"MS",64.5,13.5,9.8,4.5,1.1,4.8,1.8,0,0,8.8,229
"MT",52.6,17.7,13.6,4.1,3.3,4.5,4,0,0,11.5,130
"NC",67.2,14.5,7.3,2.7,1.6,2.3,3.7,0.3,0.4,5.1,511
"ND",58.2,17.9,10.8,3.4,1.5,2.6,2.5,0.5,2.5,9.1,211
"NE",62.4,15.9,11.8,4.3,2.4,2,1.2,0,0,9.7,157
"NH",68,17,5.5,3.9,0.6,1.4,2.8,0.7,0,5.6,351
"NJ",70.7,16.6,5.4,2.8,1.2,0.8,1,1,0.6,4.4,526
"NM",70.4,11.7,6.7,6.3,0.5,3.9,0.2,0.3,0,10.4,161
"NV",69.4,14.2,8.4,1,2.5,2.1,1.9,0.5,0,6.9,282
"NY",71.8,14.6,6.8,2.1,1.4,1.2,1.4,0.3,0.3,4.3,615
"OH",60.9,17.3,7,4,4.5,3.1,2.7,0.5,0,5.1,478
"OK",58.3,17.8,4.8,4.2,3.8,4,5.7,1.2,0.5,7.3,285
"OR",53,23.7,8.8,4.8,1.3,1.9,4.4,1,1.2,5.5,410
"PA",65.8,14,8.2,3.7,2.6,2.1,2.9,0.6,0.2,4.4,543
"RI",65.9,16.5,10.5,3.8,0.1,2,1,0,0,8.7,177
"SC",60.5,15.7,7.4,6.4,2.6,2.2,2.9,1.7,0.5,6.2,347
"SD",63.1,10.3,13.5,5.5,2.7,2,1.3,1.3,0.3,8.7,178
"TN",65.6,12.8,7.2,3,3.5,2.6,2.9,2,0.4,5.5,391
"TX",67.9,16.4,7,3.4,1.6,1.6,1.3,0.6,0.4,4.6,621
"UT",53.8,19.2,8.9,4.9,3.4,3.5,3.8,2.3,0.1,8.1,273
"VA",68.6,14,7.8,4.7,1.8,1.8,1,0,0.2,4.8,454
"VT",63.1,20.6,9.4,2.5,1.8,1.9,0.6,0,0,8.6,163
"WA",68.6,17.3,6.2,3.9,0.3,1.6,1.5,0,0.6,4.7,495
"WI",58.6,21.2,7.6,4.5,1.4,3.8,2.1,0.3,0.4,5.8,419
"WV",59.9,17.7,8.9,5.5,0.6,2.2,3.2,0,2.1,9.1,196
"WY",63.1,10.8,8.6,6.4,2.3,5.8,2.9,0,0,10.7,108
