Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Asking people to stay at home and avoid gathering in groups 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",4.3,7.3,24,64.3,0.9,17980
"AK",12.1,10.2,32.2,45.5,13.1,103
"AL",5.3,8.3,20.4,66.1,6.6,353
"AR",4.7,14.1,31.5,49.7,7.3,295
"AZ",3.6,9.2,20.7,66.5,5.2,475
"CA",3.6,6.7,22.8,66.9,4,865
"CO",6.1,7.5,24.7,61.7,5.7,387
"CT",4,6.7,21.9,67.4,8,242
"DC",2,5.5,13.5,79,10.2,119
"DE",7,5.6,17.9,69.5,6.8,260
"FL",3,7.1,25.1,64.8,4.6,604
"GA",5,7.5,22.8,64.7,5.6,429
"HI",3.5,5.2,21.3,70,7.2,272
"IA",4.1,5.8,31.5,58.5,7.4,243
"ID",9.9,12.6,26.4,51,6.1,366
"IL",6.1,9.4,25.6,58.9,4.6,517
"IN",4.6,7.4,27.5,60.5,6,377
"KS",1.9,11.2,22.4,64.6,7.4,236
"KY",4.9,8.8,23,63.3,6.5,331
"LA",4.7,7.6,22.9,64.7,6.5,357
"MA",1.8,5.1,21.2,72,4.9,433
"MD",3.7,4.5,20.9,70.8,5.5,397
"ME",7,9.1,21.4,62.5,5.6,369
"MI",4.3,8.3,25.6,61.8,5.1,481
"MN",4.4,13.2,21.7,60.8,6.4,337
"MO",5.5,8,23,63.6,5.4,445
"MS",6.6,5.7,20.3,67.4,8.6,230
"MT",8.4,11.2,34.5,45.9,11.5,130
"NC",4.1,6.5,25.1,64.2,5.2,506
"ND",2.5,16.3,22.6,58.5,9.1,211
"NE",5,4.4,21.4,69.1,9.2,159
"NH",4.2,3.6,19.3,72.8,5.4,351
"NJ",3,5.6,23.4,67.9,4.5,528
"NM",7.7,10,24.3,58.1,11.1,162
"NV",5.7,9.2,24.1,61,7.4,279
"NY",1.9,3.7,22.7,71.7,4.3,616
"OH",8.8,9.1,24.5,57.6,5.2,478
"OK",8.1,9.4,25.4,57.1,7.3,285
"OR",6,8.3,21.9,63.8,5.3,410
"PA",5.4,9.2,25.3,60.1,4.5,542
"RI",1.5,7.6,20.7,70.2,8.4,177
"SC",4.5,6.8,26.1,62.6,6.1,345
"SD",3.5,9.1,32.1,55.3,9,177
"TN",4.9,9.1,25.1,60.9,5.7,391
"TX",2.2,5.7,25.9,66.2,4.7,619
"UT",4.7,8.9,26.4,59.9,8,269
"VA",4.1,4.8,24.5,66.6,4.9,451
"VT",2,6.6,21.3,70.1,8.2,162
"WA",5.5,8.2,22.1,64.2,4.9,493
"WI",6.3,6.7,34.4,52.6,5.9,414
"WV",2.2,5.7,30.7,61.4,9.1,196
"WY",10.2,9.3,32.8,47.8,11.2,106
