We’d like to get your feelings towards different groups on a scale of 0 to 100, which we call a “feeling thermometer. 
"","Republicans","Democrats","Asian people","Black people","Hispanic people","White people","Scientists","Trump supporters","Biden supporters","Error Margin","N"
"AK",49.1,37,80,81.4,81.3,79.5,78.5,43.8,38.7,5.3,85
"AL",51,42.9,71.4,79.1,74.1,72.7,73.8,46.9,41.1,2.7,296
"AR",52.3,38.8,68.2,77.2,72.4,74.5,72.4,48.5,36.1,3.1,258
"AZ",45.7,47.5,72.4,74.1,76.4,74.6,76.4,38.3,45.1,2,414
"CA",37.3,54.8,74.2,75.4,76.9,71.2,78.2,29.2,51.1,1.5,787
"CO",44.7,45.5,76.9,79.9,79.4,76.8,78.9,37.5,42.5,2.3,333
"CT",40.8,49.9,74.8,78.2,77.5,78.1,79.1,35.4,46,3.5,214
"DC",32.9,67.4,69.4,82.4,75.6,69.7,81.1,26.1,64.7,4.4,100
"DE",42.2,50.6,69.7,74.3,73.9,73,79.3,33.6,51.6,2.8,242
"FL",47.9,47.6,68.8,75.2,75.1,77.1,78.5,43.4,47.4,1.9,550
"GA",45.2,49.3,71.8,78.3,72.7,71.1,76.3,40.1,47.3,2.4,385
"HI",34.6,49.1,78.3,74.3,75,65.6,79.7,26.9,46.7,2.5,237
"IA",44.9,45.9,71,73.7,72.1,75.1,77.7,36.9,42,2.9,207
"ID",50,35.8,71.9,75.4,75.9,75.7,75.5,46.4,32.2,2.4,308
"IL",42.2,52.1,72.5,74.5,75.3,74.3,76.1,38.2,47.1,1.8,470
"IN",47.1,43.5,74.1,78.4,75.4,76.5,74.1,40.7,39.7,2.4,331
"KS",48.5,45.2,74.1,77.7,78,76.6,76.9,40.9,43.3,3.2,204
"KY",51,39.9,68.7,75.1,70.3,75.3,72.4,47,36.8,2.6,284
"LA",51.9,44.2,67.1,76.4,67.5,72.1,73.1,45.2,41.9,2.9,309
"MA",37,56.6,76.4,78.5,77.7,78.4,82.3,30.1,53.3,2.1,383
"MD",38.2,54.3,74.6,79.9,75.1,70.2,80.3,31,52,2.1,349
"ME",46.3,45,71.2,73.4,74.1,76.1,78.5,40.7,41.1,2.3,314
"MI",40.9,51.3,73.7,77,76.4,74.2,79.2,34.2,48.7,2,441
"MN",42.8,47.6,78.7,77,77.8,78.8,78.8,36,43.9,2.3,295
"MO",46.1,42.9,70.5,73.6,72.2,74.2,74.5,40.7,41.8,2.3,377
"MS",52.5,42.5,69.4,76.1,71.7,74.4,74.4,50.7,39.4,3.7,197
"MT",45.3,29.8,75.5,75.9,75.6,77.6,77,41.9,32.2,5,119
"NC",47.6,46,72.3,75.9,72.8,75.3,75.5,44.7,44.5,2.2,471
"ND",55.8,38.3,68.7,73.5,71.5,72.6,75.9,49.8,36.7,3.9,163
"NE",43.8,43.6,76.6,75.5,78.1,75.4,75.3,38.9,39.4,3.9,140
"NH",36.7,51.6,78.7,81.1,78.7,79.8,81.5,29.5,49.5,2.3,301
"NJ",41.1,52.1,73.1,76.1,75.6,76.1,78.3,34.8,49.5,1.8,466
"NM",43.3,50.1,71.3,75,76.3,70.5,78.5,34.8,45.6,4.7,130
"NV",42.4,47.7,72.5,75.5,76.9,73.6,79.5,35.2,45.9,3,238
"NY",41.1,56.7,69.9,75.1,74.3,72,79.4,36.6,53.1,1.8,564
"OH",47.9,45.8,69.5,74.5,72.4,75.5,74.4,43.3,43.7,2.2,420
"OK",52.1,37.6,72.9,75.2,75.9,76.3,71.5,47.5,36.5,2.9,236
"OR",39.5,48.2,77.5,78,77.4,77.8,82,34.1,45.9,2.3,357
"PA",46.7,47.5,70.2,73.8,72.1,75.5,76.1,40.9,45,1.8,492
"RI",35.2,56.7,76.8,81.7,81,76.9,78.8,25.5,48.8,3.5,142
"SC",53.6,41.9,71.7,75.6,71.4,72.6,72.3,48,38.7,2.5,307
"SD",53.1,39.7,71.3,70.7,71.1,74.1,75.3,47.1,35.1,3.8,142
"TN",53.6,41.2,70.6,76,73.3,77.6,76.1,50.4,39.8,2.5,342
"TX",46.5,47.8,69.9,73,75,70.7,75.5,39.1,45.6,1.9,555
"UT",48.6,42.3,78.2,79.4,80.3,78.8,77.6,40.2,38.7,3.1,224
"VA",44.4,50.1,75.6,78.5,76.1,75.9,76.8,38.1,48.3,2.2,397
"VT",30.2,53.9,75.2,80.2,79.2,81,85.8,23.6,50.5,3,139
"WA",38.1,52.3,76.1,78.3,78.5,74.8,79.4,32,49.8,2,430
"WI",40.2,47.7,72.5,74.1,74.3,75.3,77.2,33.7,46,2.2,373
"WV",49.6,42.1,71.1,74.7,74,82.8,76.9,50.6,36.8,3.9,163
"WY",56.6,28.9,71.8,70.8,72.4,78.5,72.9,55.6,26.4,4.9,91
