How concerned, if at all, do you currently feel about the following: - Problems with working from home during the virus outbreak 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",16.2,15.7,14.2,11.8,42,0.9,17941
"AK",19.8,24.7,8.9,5.2,41.4,13,103
"AL",16.8,20,12.6,11.8,38.9,6.9,348
"AR",14.1,16.1,10.1,9.9,49.8,7.3,296
"AZ",17.6,14,11.7,11.1,45.6,5.6,470
"CA",12.3,16.4,19.7,12.4,39.2,4.1,867
"CO",21.1,15.5,15.7,8.8,39,5.7,384
"CT",13,12.9,16.9,16.4,40.8,8.5,240
"DC",21.1,15.5,19,17.8,26.6,11.1,119
"DE",16.1,14,11.8,12.7,45.5,7.4,261
"FL",12.1,12.9,13.4,14.4,47.2,4.9,603
"GA",15.5,16.1,17.1,13.9,37.4,5.7,428
"HI",12,16.3,14.8,13.9,43,7.7,271
"IA",15.4,16.1,15.2,9.6,43.7,7.4,241
"ID",22.9,13.6,12.9,5.6,45,6.1,366
"IL",16.9,13.1,17.6,10.3,42.1,4.7,512
"IN",14.5,12.3,9.4,10.9,52.8,6.2,374
"KS",20.8,18.8,14.3,9.1,37,7.5,236
"KY",16.6,16,11.4,9.8,46.1,6.8,327
"LA",14.6,15.1,7.9,15.8,46.6,6.8,359
"MA",15.8,19.4,16.2,12.8,35.8,5.2,435
"MD",19.6,18.9,15.8,12.6,33.2,5.7,395
"ME",14.4,13.3,10.8,6.3,55.2,5.8,369
"MI",16.4,11.2,15.1,11.3,46.1,5.3,481
"MN",14.6,15.4,8.4,7.2,54.3,6.5,334
"MO",20.4,17.2,10.1,4.8,47.4,5.5,454
"MS",11.3,21.4,14.6,7.8,44.9,9.2,228
"MT",16.4,21.4,9.3,7.2,45.6,11.5,130
"NC",18.4,12.5,11.6,12.8,44.7,5.4,510
"ND",16.3,19.7,9,9.4,45.6,9.3,207
"NE",18.1,17.7,9.4,10.2,44.6,9.9,158
"NH",15.4,16.9,13,8.3,46.4,6,349
"NJ",14.9,17.5,15.1,13.5,39.1,4.7,522
"NM",17.3,18.2,7.2,14.6,42.8,11.3,159
"NV",15.6,16.7,11.3,16.3,40.2,7.4,279
"NY",13,15.8,14.3,17.6,39.2,4.6,618
"OH",18,13.2,10.7,9.2,49,5.3,476
"OK",17.9,17.2,15.6,11.6,37.7,7.2,284
"OR",19,13.5,17.5,8.7,41.4,5.4,409
"PA",16,15.8,12.1,8.1,48.1,4.6,538
"RI",12.8,20.3,21.9,7.3,37.7,9,174
"SC",11.5,17.7,13.5,8.4,48.9,6.4,344
"SD",17.5,19.7,14.2,7,41.6,8.9,177
"TN",18.4,15.9,16,11.8,37.8,5.6,390
"TX",17.7,15.7,14.8,16.2,35.6,4.8,616
"UT",20.4,19.2,14.7,10.2,35.4,7.8,272
"VA",18.3,13.5,15.3,12.4,40.5,5.1,452
"VT",10.6,27,13.5,6.6,42.3,8.8,163
"WA",15.6,14.5,16.7,11.5,41.7,5,494
"WI",18.8,15.3,12.9,7.2,45.8,5.8,419
"WV",16.8,13.4,10.8,9.9,49.1,9.3,194
"WY",23.2,19,9.4,4.3,44,11.2,106
