How concerned, if at all, do you currently feel about the following: - Problems staying connected  with friends and family 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",23.3,26.9,27.5,17.4,4.9,0.8,17965
"AK",31.2,34.8,19.1,10.3,4.7,12.5,104
"AL",20.5,22.8,28.5,22.8,5.4,6.4,349
"AR",24.7,34.8,19,12.6,9,7,296
"AZ",25.9,30.3,26.4,13.3,4.2,5.1,472
"CA",19.9,27.9,28.5,16,7.7,3.8,866
"CO",30,25.2,27.3,12.8,4.7,5.4,387
"CT",24.7,17,30.1,24.5,3.7,7.9,240
"DC",22.9,27.3,26.6,21.1,2.1,11.1,120
"DE",19.5,32.9,23.5,20.1,4,6.9,263
"FL",25.6,23.8,27.8,18.2,4.6,4.4,603
"GA",21.2,26.5,28.9,16.7,6.7,5.3,428
"HI",26.8,31,24.2,15.3,2.7,7.2,271
"IA",16.7,28.5,31.4,19.3,4.2,7,241
"ID",33.1,25.3,27.2,10.7,3.7,5.8,367
"IL",23.7,28.2,29.5,14.1,4.5,4.3,514
"IN",22.4,31.2,25.9,15.3,5.1,5.7,375
"KS",23.9,28.3,26.9,14.7,6.2,7,236
"KY",22.5,24.5,30.2,18.7,4.1,6.3,326
"LA",25.2,27.5,23.5,16.1,7.7,6.1,358
"MA",20.7,23.3,32.5,20.7,2.8,5.1,435
"MD",19.1,29.6,28.1,19.9,3.3,5.5,397
"ME",24.9,27.4,28.9,13.6,5.2,5.2,369
"MI",22.8,25,28.7,18.7,4.7,4.8,482
"MN",20.2,29.3,30.7,16.7,3.1,6.1,336
"MO",25.6,35,22.9,9.6,6.8,5.3,452
"MS",21.9,32.5,17.1,21.5,7,8.7,228
"MT",43.2,31.5,14.9,7,3.3,11.4,130
"NC",23.7,24.8,24.2,19.4,7.8,4.7,511
"ND",28.1,27.1,32.6,9.8,2.4,8.7,207
"NE",24.6,31.3,26.1,17.1,0.8,9.3,158
"NH",19.2,28.8,31.2,18.8,2.1,5.6,350
"NJ",25.1,24.7,29.7,17.9,2.6,4.4,525
"NM",18.1,32.5,27.7,19.5,2.2,10.6,162
"NV",29.6,23.3,25.2,15.4,6.5,6.9,280
"NY",19.6,23.2,29,22.9,5.2,4.3,617
"OH",26,26.1,26.3,18.1,3.5,4.6,477
"OK",20.8,32.1,28.7,12.9,5.5,6.9,283
"OR",26,28.5,30.4,12.7,2.3,5.1,410
"PA",21.5,26.8,33.8,13.8,4,4.3,544
"RI",27,24.8,26,19.6,2.7,8.2,173
"SC",25.8,26,31.6,12.4,4.2,5.9,343
"SD",25.9,29.1,30.4,8.1,6.5,8.3,177
"TN",26.3,26.7,22.1,17.9,7,5.1,390
"TX",23.1,26.5,27.5,19.4,3.5,4.5,616
"UT",28.3,28.5,23.6,15.5,4.1,7.4,271
"VA",24.7,28,22.8,20,4.5,4.6,451
"VT",20.7,27.6,34.6,10.8,6.3,8.5,163
"WA",25.3,26.8,25.2,18.1,4.6,4.5,493
"WI",21.7,30.7,25.7,17.3,4.7,5.4,419
"WV",19.4,31.1,22.1,21.5,5.9,8.6,194
"WY",35.3,25.4,28.3,6.1,4.9,10.7,106
