How often do you talk to people about the current coronavirus (COVID-19) outbreak,  either in person, over the phone, or electronically? 
"","Never","Less than once a week","Once a week","A few times a week","Daily","A few times a day","Error Margin","N"
"National",4.3,11.7,8.3,31.8,29.9,14,0.9,18081
"AK",3.5,13.5,10.9,36.5,27.1,8.5,12.6,104
"AL",3.5,10.8,7.2,30.4,34.3,13.8,6.6,356
"AR",3.8,11.4,8.3,34.9,31.5,10.1,7,297
"AZ",4.3,11.4,9.7,34.3,27.4,13,5.3,477
"CA",6.4,13.3,9.3,29.3,28.6,13,3.8,874
"CO",6.3,14.2,5.7,32,28.5,13.2,5.5,389
"CT",2.1,11.5,10.4,27.1,33.9,15,8.1,243
"DC",0.8,10.7,6.9,26.5,26.9,28.2,11.2,120
"DE",2.3,10.3,11.1,31.3,27.3,17.8,6.9,263
"FL",3.6,10,9.6,30.4,31.6,14.8,4.5,606
"GA",4.6,9,9.3,34.5,29.8,12.8,5.6,430
"HI",9,14.2,13.2,28.6,25.6,9.4,7,272
"IA",4.5,10.8,5.9,26.4,36.5,15.9,7.2,244
"ID",7.9,16,8.4,28.4,25.4,13.8,5.5,370
"IL",3.5,11.7,6.3,30.6,31.9,15.9,4.4,520
"IN",7,15.2,8.6,26.6,31.4,11.2,5.7,378
"KS",4.4,16.1,8.3,31.8,26.2,13.2,7.2,239
"KY",2.1,12.7,9.9,30.9,29.8,14.6,6.3,331
"LA",4.6,12.8,5.7,32.4,27,17.4,6.4,361
"MA",1.6,7.6,8.3,29.3,37.7,15.4,5.3,437
"MD",4.9,7.7,9.4,31.7,34.1,12.2,5.7,398
"ME",2.4,11,5.5,34.5,35.2,11.5,5.5,370
"MI",3.4,8.1,8.2,33.5,32.7,14.1,5,482
"MN",2.5,9.6,9.8,31.6,31.7,14.8,6.1,338
"MO",6,14.8,6.1,32.8,26.1,14.2,5.2,454
"MS",3.4,12.3,8.2,28.9,30.4,16.7,8.5,230
"MT",0.5,15.2,12.2,33,28.9,10.1,10.9,129
"NC",3.1,12.4,10.5,33,25.9,15,5.1,512
"ND",4.4,11,11.9,34.6,28.8,9.3,8.7,212
"NE",8.5,8.4,9.8,32.6,27.8,12.8,9.3,159
"NH",3.8,7.2,6.5,33.1,34.6,14.9,5.7,351
"NJ",2.9,12.4,7.4,31.3,32.6,13.5,4.5,528
"NM",3,14.3,11.1,27.6,31.6,12.4,10.5,162
"NV",6.5,9.1,5.7,31.8,34.7,12.2,7.2,282
"NY",2.5,9.5,5.9,29.9,32.8,19.2,4.4,620
"OH",4.7,14.3,7.6,32.1,27.2,14.1,4.9,478
"OK",6,11.7,8.5,32.8,26.6,14.4,6.9,288
"OR",4.4,11.9,8.2,32.3,31.7,11.6,5.1,412
"PA",4.9,11,9.3,32.2,30.8,11.8,4.3,545
"RI",9.4,5.7,7.3,35,30.5,12.1,8.8,178
"SC",4,15.9,9.9,29.6,25.6,15,5.8,346
"SD",0.5,19.5,5.1,32.8,30.1,12.1,8.5,177
"TN",5,11,10.8,31.4,28.8,12.9,5.4,390
"TX",4.9,13.4,7.7,31.7,28.4,13.9,4.6,620
"UT",2.3,8.1,8.3,27.8,40,13.6,8,272
"VA",5.1,8.6,9.6,29.8,32.7,14.2,4.8,455
"VT",3.3,9.8,11,31.7,26.9,17.4,8.3,163
"WA",3.8,11.9,7.8,31.6,32.4,12.4,4.8,496
"WI",2.6,13.4,7.1,34.2,29.7,13.1,5.6,419
"WV",6.5,12,6.7,29,31.8,14,8.7,196
"WY",10.1,14.1,3.2,34.6,25.8,12.1,10.6,108
