How concerned, if at all, do you currently feel about the following: - Losing your job due to the virus outbreak or the measures against it 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",15,14.1,16.2,21.1,33.5,0.9,17934
"AK",20.1,14.3,16.7,12,37,12.7,103
"AL",18.8,11.8,12.6,25.1,31.7,6.6,346
"AR",14.5,15.3,15.6,17.6,36.9,7.1,296
"AZ",12.9,10.5,16.1,20.6,40,5.5,470
"CA",11.3,14.1,18,20.5,36.1,4,868
"CO",15.8,16.2,15.1,20.1,32.8,5.5,387
"CT",16.5,12.1,13.1,24.7,33.6,8.1,240
"DC",15.3,17.8,22.9,19.4,24.6,10.8,119
"DE",15.9,9.6,12.1,24.1,38.3,7.2,263
"FL",15,11.7,13.3,24.7,35.2,4.7,601
"GA",15.1,15.1,19.8,22.6,27.4,5.2,430
"HI",9.5,14.6,17.8,28.6,29.5,7.2,270
"IA",18.8,16.8,19.7,15.7,29.1,6.8,239
"ID",22.5,16.9,11.9,12.7,36,5.9,368
"IL",16.5,15.1,15.7,20.5,32.2,4.4,511
"IN",14.8,19,13.1,14.7,38.4,6,374
"KS",16.1,14,20.4,21.4,28.1,7,236
"KY",15.3,13.4,13.4,21.3,36.5,6.6,328
"LA",17.4,13.9,11.3,22.2,35.2,6.5,359
"MA",12.2,15.3,20.2,22,30.2,5,433
"MD",13.8,14.7,21.4,21.4,28.7,5.5,395
"ME",16.3,12.1,13.6,11.3,46.7,5.8,369
"MI",12.2,12.9,17.5,17.9,39.6,5.2,481
"MN",16.8,16.9,14,18.4,33.9,6.2,335
"MO",14.9,12.8,13.6,19.1,39.6,5.4,454
"MS",16.5,18.3,12.8,19.8,32.6,8.7,228
"MT",34.1,13.9,5.9,10.5,35.7,11,130
"NC",13.2,16.8,13.9,23.1,33,5.1,508
"ND",15.2,23.3,16.7,13,31.8,8.6,208
"NE",22.3,12.2,15.7,15,34.8,9.6,155
"NH",13.2,19.3,20.2,16.7,30.5,5.6,349
"NJ",15.5,12.6,19.6,23.4,28.9,4.4,522
"NM",16,13.3,13.5,20.5,36.6,10.9,161
"NV",13.8,9.4,17.8,31.1,27.9,7,278
"NY",10.4,13.2,17.2,28.2,31,4.4,616
"OH",19.2,13.9,14.9,15.5,36.5,5.1,477
"OK",17,14.3,13.4,21.8,33.4,7,285
"OR",17.8,17.6,18.3,12.6,33.7,5.2,406
"PA",17.1,14.4,16.7,16.9,34.8,4.4,541
"RI",10.9,17,13.2,27.3,31.7,8.6,175
"SC",17.1,15.1,18,14.1,35.7,6.1,343
"SD",19.9,15.1,13.9,19.1,32.1,8.5,176
"TN",16.5,14.6,18.8,21.3,28.8,5.3,388
"TX",13.8,13,15.1,28.3,29.8,4.6,615
"UT",18.8,13.3,18.3,21.1,28.5,7.4,272
"VA",16.6,17.6,17.5,19,29.3,4.7,453
"VT",13.7,23.6,18.1,12.1,32.7,8.4,163
"WA",15.4,9.4,20.1,20,35.1,4.9,492
"WI",16.7,17.1,16.3,18.3,31.6,5.4,420
"WV",12.5,13.5,11,18.3,44.7,9.3,192
"WY",23.8,16.3,9.9,18.9,31.1,10.4,106
