Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Tracking people’s cell phone location to find out who was in contact with a sick person 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",36.9,21.3,23.3,18.5,0.9,17958
"AK",53.9,17.5,15.7,12.9,13.1,104
"AL",50,17.9,16.6,15.5,7,354
"AR",48.9,22.1,20.2,8.8,7.3,295
"AZ",35.8,20.5,23.6,20,5.3,476
"CA",30.2,22.9,26.1,20.7,3.9,863
"CO",43,19.3,24.4,13.3,5.8,387
"CT",34.4,24.9,20.7,20,8.2,240
"DC",20.2,15.4,41.8,22.6,12.4,118
"DE",38.5,20.4,21.8,19.3,7.2,261
"FL",36.4,21.1,21.1,21.4,4.7,600
"GA",37.4,24,24,14.7,5.7,427
"HI",35.8,22.1,22.9,19.2,7.5,272
"IA",46.5,15.1,23.1,15.3,7.5,243
"ID",52.6,19,16.6,11.9,6.1,365
"IL",34.2,24.7,25,16.1,4.5,515
"IN",39,25.3,19.8,15.9,6,373
"KS",39,20.5,24.9,15.7,7.5,238
"KY",41.5,21.3,17.3,20,6.7,331
"LA",38.4,21.8,16.7,23.1,6.6,355
"MA",29.6,21.1,27.7,21.6,5,432
"MD",29.9,25.1,25.9,19,5.5,398
"ME",39.6,21.6,21.9,16.9,5.7,368
"MI",38,19.7,25.1,17.1,5.1,480
"MN",40,22.3,21.4,16.3,6.4,337
"MO",44.6,18.5,19.5,17.3,5.6,446
"MS",39.7,19.4,23,17.9,9,228
"MT",49.5,19.7,16,14.7,11.5,129
"NC",37.1,21,23.4,18.5,5.3,505
"ND",37.8,21.2,29.9,11.2,8.9,211
"NE",28.6,24.9,25.9,20.7,9,159
"NH",38,24.4,19.1,18.5,5.9,351
"NJ",28.7,24.2,24.6,22.5,4.3,525
"NM",37.4,22.5,27.7,12.4,10.9,162
"NV",34.4,22.4,22.4,20.8,7.2,280
"NY",26.1,19.6,30.6,23.7,4.4,619
"OH",41.1,22.1,22.1,14.6,5.2,475
"OK",44.7,17.4,19.9,18,7.4,286
"OR",41.7,23.1,18.9,16.3,5.4,408
"PA",42.2,19.4,22.6,15.8,4.5,540
"RI",36.9,25.6,21.3,16.2,8.9,177
"SC",40.9,22.6,22.9,13.6,6.3,344
"SD",46.8,22.8,16.7,13.8,9,176
"TN",38.9,21.3,21.2,18.6,5.7,388
"TX",34.9,20.1,25.8,19.2,4.8,617
"UT",41.2,30.2,15.9,12.7,8,272
"VA",37.3,19.1,25.5,18.1,5,453
"VT",32.5,30.3,24.6,12.7,8.4,162
"WA",35.5,26,21.2,17.3,4.9,494
"WI",38.6,21.9,23.8,15.7,5.7,418
"WV",50.9,20.5,16.9,11.7,9.3,195
"WY",44.6,23.7,14.6,17.1,11.2,106
