Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Restricting travel within the U.S. 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",8.1,15.3,32.8,43.8,0.9,17936
"AK",13.4,15.3,44.3,26.9,13,104
"AL",8.7,14.9,32.1,44.2,7,352
"AR",9.8,26.2,32.5,31.6,6.8,296
"AZ",7.6,15.1,37.2,40.1,5.5,473
"CA",7.7,13.2,31.7,47.5,4.2,863
"CO",11.9,19.1,32.3,36.8,5.7,386
"CT",7.8,14.3,33.6,44.3,8.5,241
"DC",5.1,16.2,37.8,40.9,12.3,119
"DE",8.8,8.9,32.7,49.6,7.4,260
"FL",6.1,15.6,34.8,43.6,4.8,603
"GA",10.4,11.8,34.2,43.6,5.8,427
"HI",4.4,10,30.9,54.7,7.8,271
"IA",6.6,21.8,34,37.6,7.3,240
"ID",13,21.8,31.9,33.4,5.8,365
"IL",9.2,16.7,37.9,36.1,4.6,515
"IN",10.6,14.5,31.8,43.1,6.1,377
"KS",8.6,16.9,37.7,36.8,7.5,238
"KY",8.5,14.9,31.2,45.4,6.8,330
"LA",5.5,17.4,29.1,48,6.8,356
"MA",6.5,14.1,35.5,43.9,5.4,433
"MD",4.8,14.2,36.6,44.3,6,394
"ME",9.6,13,35.5,41.9,5.7,366
"MI",7.6,12.8,36.5,43.1,5.2,479
"MN",11,20.1,31.4,37.6,6.4,336
"MO",8.2,17.7,33.7,40.4,5.5,445
"MS",11.2,15.5,31,42.4,9.2,226
"MT",10.6,20.3,34.4,34.7,11,130
"NC",8.7,14,30.6,46.8,5.4,505
"ND",6.1,23.1,32.1,38.7,9,211
"NE",8,14.9,28.9,48.1,10,156
"NH",7.3,12.6,32.9,47.3,6,350
"NJ",5.1,15.7,33.6,45.7,4.8,523
"NM",7.1,16.1,37.2,39.6,11,162
"NV",7.5,19.1,27.1,46.4,7.5,280
"NY",5.3,9.8,30.8,54.1,4.7,617
"OH",10.6,15.9,31.7,41.8,5.2,476
"OK",12.7,14.5,34.9,38,7.2,286
"OR",11,15.7,33.5,39.9,5.4,410
"PA",8.8,16.4,33.5,41.3,4.5,540
"RI",6.6,10.9,32.2,50.4,9.3,175
"SC",8.6,13.9,38.6,38.9,6.2,345
"SD",9.5,18.9,34.2,37.4,8.7,178
"TN",10.7,16,30.4,43,5.8,388
"TX",5.7,16.8,30.6,46.9,5,616
"UT",13.5,16.6,34,36,7.8,271
"VA",8,13.1,29.1,49.8,5.2,451
"VT",4.1,18.4,34.2,43.3,8.9,161
"WA",9.3,16.2,30.6,43.9,5.1,491
"WI",7.9,20.1,34.7,37.2,5.7,418
"WV",6.3,13.5,29.1,51.2,9.4,194
"WY",6.8,19.7,42.5,31,11.1,107
