How concerned, if at all, do you currently feel about the following: - Getting coronavirus yourself 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",13.9,20.7,34.6,28.8,2,0.9,18002
"AK",22.1,32.1,27,16.5,2.3,12.2,104
"AL",14.4,19.2,31.6,31.2,3.6,6.5,353
"AR",15.6,24.5,36.2,22.1,1.6,7,296
"AZ",14.6,17.8,32.5,33.9,1.1,5.3,472
"CA",12,21.1,33.1,31.2,2.7,4,867
"CO",20,18.1,37.7,22.3,1.8,5.7,387
"CT",12,20.4,31.3,35.9,0.4,8.3,240
"DC",12.7,14.4,27.2,43.3,2.5,12.3,120
"DE",8.3,22.6,34.2,32.4,2.5,7,263
"FL",14.2,15.3,34.3,33.9,2.2,4.6,607
"GA",10.8,20.3,38.8,28,2.2,5.7,430
"HI",12,17.4,33.1,31.3,6.1,7.3,272
"IA",16.4,22.8,33.2,26.8,0.8,7.1,242
"ID",19.9,28.6,29.7,20.2,1.6,5.6,369
"IL",14.5,24.7,33.5,25,2.3,4.4,518
"IN",14.4,23.1,36.4,23.4,2.7,5.9,375
"KS",10.2,30.5,35,22.9,1.5,7.4,235
"KY",17.1,19.5,37.3,25.5,0.6,6.6,329
"LA",13.7,17.4,30.4,35,3.5,6.5,359
"MA",7.3,19.8,37.9,34.4,0.6,5.3,436
"MD",12.3,21.4,32.8,32.2,1.2,5.6,398
"ME",12.9,25.8,36.4,23.3,1.7,5.6,368
"MI",14,20.3,36.9,28,0.7,5.1,480
"MN",12.3,21.7,36,29.4,0.7,6.3,338
"MO",17.1,23.2,37.1,20.2,2.3,5.4,454
"MS",14.2,21.1,29,32.8,2.9,8.7,229
"MT",26.3,30,33.6,8.3,1.8,10.9,130
"NC",13.6,22,35.8,27.2,1.3,5.2,510
"ND",18.6,24.4,38,17.9,1.1,9,209
"NE",15.4,20.9,34.6,28.4,0.8,9.5,158
"NH",11.2,20,42.8,25.1,0.9,6,350
"NJ",10.3,17.6,37.3,32.7,2.1,4.6,526
"NM",20.5,18.6,32.4,28.2,0.3,10.5,163
"NV",11,16.8,37.6,30,4.7,7.3,280
"NY",9.1,14.4,32.1,41.8,2.7,4.7,617
"OH",19.1,20.6,36.5,23.5,0.2,5.1,476
"OK",19.1,18.9,30.7,28.8,2.6,6.8,284
"OR",17.8,26.9,37,16.5,1.9,5.3,411
"PA",14.7,21.2,36.5,26.6,0.9,4.4,543
"RI",10.5,20.8,40.1,27.3,1.2,9,178
"SC",13.7,24.9,35.2,22.4,3.8,6.1,346
"SD",12.2,24.7,37.7,22.1,3.3,8.8,177
"TN",16.8,18.8,35.1,25.9,3.5,5.5,391
"TX",12.3,19.6,32.5,34.8,0.9,4.8,612
"UT",20.6,27.9,31.2,18,2.3,7.6,272
"VA",10.9,19.8,33,34.9,1.4,4.9,453
"VT",13.7,29.3,33.1,22.1,1.8,8.4,162
"WA",15.6,21.9,34.8,25.5,2.3,4.9,493
"WI",17.7,23,35.3,22.5,1.4,5.6,417
"WV",16.9,25.6,25.5,31,1,8.6,196
"WY",19.7,31.3,34.3,9.3,5.4,10.6,107
