How much, if at all, has your life been disrupted by the coronavirus (COVID-19) outbreak? 
"","Not at all","A little","A moderate amount","A lot","A great deal","Error Margin","N"
"National",4.4,17.6,31.7,22.6,23.6,0.9,18075
"AK",4.9,19.9,35,25.4,14.7,12.5,104
"AL",9.2,20.4,30.7,18.8,21,6.5,355
"AR",4.5,21.1,32.1,22.7,19.7,6.8,297
"AZ",4.7,20.8,32,20.6,22,5.2,476
"CA",4.3,13.9,31,24.7,26.1,3.9,874
"CO",4.2,17,34.8,22.2,21.8,5.6,389
"CT",2.5,17.7,27.4,21.4,31,7.9,243
"DC",3.1,16,26.1,23.1,31.6,11.7,119
"DE",3.5,16.6,33.6,23.2,23.1,7,263
"FL",3.4,20,29.3,24.1,23.1,4.4,607
"GA",4.1,17.8,32.4,21,24.7,5.5,431
"HI",2.1,18.6,34.5,19.1,25.6,7.4,272
"IA",3.1,25.2,27.4,26.1,18.3,6.7,244
"ID",6.6,25.3,33.5,17.1,17.6,5.8,370
"IL",4.3,16.8,31.6,24.3,23,4.4,521
"IN",4.7,22.6,29.1,22.8,20.9,5.6,377
"KS",5,16.9,34.5,23.1,20.5,7.3,240
"KY",3,19.8,33.6,22,21.6,6.4,331
"LA",4.5,17.2,33,21.8,23.5,6.4,361
"MA",1.5,9.6,33,25.7,30.1,5.1,437
"MD",1.8,12.6,30.1,28.8,26.6,5.5,398
"ME",3.7,19.8,37.7,18.6,20.1,5.6,370
"MI",1.9,17.6,29.6,20.2,30.6,4.9,481
"MN",2.4,16.5,36.6,21,23.5,6.3,338
"MO",7.2,19,30.9,21.5,21.4,5.1,454
"MS",6.5,22.8,26.3,21.1,23.3,8.1,229
"MT",8.5,24.7,29.1,20.4,17.4,10.4,130
"NC",5.2,19.6,30.8,19.6,24.9,5,510
"ND",2.1,25.6,41.5,16.1,14.6,9.1,211
"NE",8.2,19.8,22.1,30.4,19.4,9.2,159
"NH",2.7,11.2,39.7,22.8,23.7,5.9,351
"NJ",2.6,14,31.4,28.5,23.4,4.4,527
"NM",4.9,16.4,31.3,22.6,24.9,10.4,163
"NV",1.1,14.7,28.8,26.4,29,6.8,282
"NY",3.1,12.7,29.8,25.1,29.3,4.3,617
"OH",8.3,18.3,31.1,21.1,21.3,4.9,479
"OK",5.3,20.5,33,19.9,21.4,7,287
"OR",3.8,18.7,34.3,25.2,18,5.2,412
"PA",1.4,22.4,32,19.5,24.7,4.3,545
"RI",5.5,14.9,23.6,32.9,23.1,8.6,178
"SC",5.9,20,38.7,17.4,18,6.2,346
"SD",3.4,19.6,37,21.7,18.4,8.7,178
"TN",4.4,17.6,34.1,21.9,21.9,5.5,389
"TX",4.5,22.5,31.7,20.1,21.2,4.6,621
"UT",3.2,19.6,30.4,28,18.8,7.5,273
"VA",6.3,15.3,29.7,26.5,22.2,4.7,455
"VT",1.5,16.7,36.7,22.5,22.5,8.7,162
"WA",4.9,14.7,29.5,22.1,28.8,4.7,495
"WI",3.2,22.5,28.2,18.4,27.7,5.3,420
"WV",6.8,19.4,30.5,19.8,23.5,8.6,196
"WY",5.9,24.4,25.8,20.5,23.4,9.7,108
