Race recoded 
"","White","Hispanic","African American","Asian","Other race","Error Margin","N"
"National",64.7,14.7,12,6.1,2.5,0.9,18103
"AK",64,7,2.8,5.7,20.4,12.6,104
"AL",66.1,4,25.8,1.5,2.6,6.6,356
"AR",72.8,6.5,15.9,1.5,3.2,6.5,297
"AZ",56.7,29.4,4.2,3.3,6.4,5.5,477
"CA",38.2,34.3,6.4,17.2,4,4.1,877
"CO",69.8,19.3,4.1,3.4,3.4,5.4,390
"CT",67.3,15.2,10.4,4.5,2.5,8,243
"DC",38.2,9,45.2,4.1,3.5,12.4,120
"DE",63.8,7.8,21.7,3.8,2.8,7.1,263
"FL",55.9,23.8,15.7,3.1,1.6,4.8,607
"GA",55.5,7.6,30.1,4.2,2.6,5.8,433
"HI",23,10.1,1.8,37.2,27.9,7.5,272
"IA",86.7,5.5,3.4,2.2,2.1,5.1,244
"ID",82.8,11.7,0.7,1.4,3.4,4.6,370
"IL",64.8,14.9,12.3,5.9,2,4.5,521
"IN",80,6.8,8.6,2.2,2.4,4.9,378
"KS",76.4,10.7,6,2.9,4,6.6,240
"KY",84.7,3.3,8.2,1.5,2.4,4.9,331
"LA",58.9,5.1,31.7,1.8,2.6,6.7,361
"MA",72.8,10.7,7,6.6,2.9,4.8,437
"MD",52.5,8.6,29,6.5,3.4,6,399
"ME",93.4,1.6,1.3,1.1,2.6,2.9,370
"MI",76.3,4.7,13.3,3.1,2.6,4.5,482
"MN",80.6,4.8,6.2,4.8,3.6,5.2,338
"MO",80.5,4,11.2,1.4,2.8,4.4,454
"MS",60.5,3,33.6,0.9,2,9,230
"MT",88.8,3.8,0,0.8,6.7,7.3,130
"NC",66.1,7.2,20,2.9,3.7,5.1,512
"ND",86,3.5,2.2,1.3,6.9,6.4,212
"NE",80.5,10,4.4,2,3.1,7.9,159
"NH",90.6,3.5,1.2,2.6,2,3.5,351
"NJ",59.2,15.8,13,9.7,2.2,4.7,529
"NM",43,44.7,2.1,1.4,8.8,11.2,163
"NV",50.8,26.3,9.1,8.5,5.3,7.5,282
"NY",55.9,18.2,14.5,8.6,2.8,4.7,620
"OH",78.6,3.8,12.5,2.2,2.9,4.3,479
"OK",67.5,9.5,5.9,2.5,14.6,6.9,288
"OR",76.9,11.7,1.9,4.3,5.3,4.6,412
"PA",78.7,5.5,10.3,3.3,2.3,3.8,545
"RI",73.3,15.1,5.3,3.2,3.1,8.1,178
"SC",66.6,5.4,24,1.5,2.5,6,347
"SD",82.9,3.2,1.8,1.5,10.5,6.8,178
"TN",76.1,3.4,16.2,1.8,2.5,4.9,391
"TX",43.7,37.3,11.7,5,2.3,4.9,621
"UT",79.7,12.8,1.1,2.4,4,6.6,274
"VA",62.2,9.4,18.2,6.5,3.6,5,455
"VT",92.9,1.9,1.2,1.8,2.2,4.6,163
"WA",70.1,11.7,3.6,8.3,6.3,4.7,496
"WI",83.2,5.8,6,2,2.9,4.4,420
"WV",92.2,1.4,3.6,0.8,2,5,196
"WY",87,6.3,1,1.2,4.6,7.5,108
