How concerned, if at all, do you currently feel about the following: - Financial hardships due to the virus outbreak or the measures against it 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",13,17.5,30.3,31.6,7.6,0.9,17958
"AK",22.3,21,25.8,22.6,8.3,11.5,103
"AL",9.6,17.3,28.3,33.4,11.4,6.7,350
"AR",12.1,17,32.4,31.6,6.9,6.8,296
"AZ",14.6,19.5,27.2,29.5,9.2,5.1,471
"CA",13.7,16,32.5,31.4,6.5,3.9,867
"CO",17.2,17.8,31.4,27.4,6.2,5.5,386
"CT",10.5,15.3,30.7,38.7,4.8,8.4,238
"DC",12.9,17.3,28.5,37.6,3.7,12.2,119
"DE",11.2,22.6,25.7,35.3,5.1,7.1,263
"FL",13.9,17.6,26.2,34.6,7.7,4.6,601
"GA",11.8,15,31.7,34.4,7.2,5.6,428
"HI",12.4,17.6,24.8,38.5,6.7,7.6,270
"IA",14.9,17.2,33.7,28.8,5.5,7.1,241
"ID",16.5,20.3,29.9,25.6,7.7,5.6,367
"IL",14.9,17.9,32.2,26.9,8.1,4.4,515
"IN",13.6,17,34.2,27.5,7.8,5.8,376
"KS",9.1,19.6,34.3,29.5,7.6,7.4,235
"KY",13.2,21,31,29.2,5.6,6.3,327
"LA",14.5,15.1,29.2,31.6,9.6,6.3,358
"MA",10.9,19,30.1,33.5,6.4,5.2,434
"MD",11.7,18.7,32.3,32.1,5.2,5.6,395
"ME",13.2,20.8,39.4,19.8,6.8,5.6,370
"MI",14.6,17.4,28.9,29.9,9.1,4.8,482
"MN",13.4,20.8,31.8,27.3,6.6,6.1,336
"MO",17.2,18.4,27.6,29.2,7.6,5.1,453
"MS",9.6,18.3,25.1,38.2,8.7,9,229
"MT",24.4,22.1,26.8,21.3,5.4,10.2,129
"NC",11.4,19.2,26.3,34.2,8.9,5.1,509
"ND",13,18.6,37.9,26.3,4.2,9,209
"NE",15.8,19.5,32.7,29,3.1,9.4,157
"NH",11,21,31.9,29,7.1,5.6,349
"NJ",10.8,17.3,33.9,33.4,4.6,4.5,524
"NM",10.9,17.8,26.4,35.7,9.2,10.8,161
"NV",11.6,13.8,28.4,38.8,7.5,7.4,280
"NY",11.3,14.9,31.4,32.5,9.8,4.4,620
"OH",17.5,18.1,29.2,25.3,9.8,4.8,476
"OK",13.7,15.2,26.1,35.9,9.1,7.2,281
"OR",12.3,22.9,35,23.5,6.2,5.2,409
"PA",13,20.4,31.2,25.8,9.7,4.3,542
"RI",13,17.7,28.2,36,5.2,8.8,176
"SC",13.2,16.8,31.3,30.7,8.1,5.9,343
"SD",16.6,21.3,34.1,21.8,6.2,8.5,178
"TN",17.3,15.7,29,30.7,7.2,5.3,391
"TX",11.8,15.4,33.4,32.8,6.6,4.7,615
"UT",11.8,18.3,27.3,33.9,8.8,7.7,272
"VA",14.9,20.4,27.3,31.1,6.3,4.8,452
"VT",8.2,25,40.6,20.2,6,8.8,163
"WA",11.7,14.4,31.8,33.3,8.7,4.8,494
"WI",14.9,17.6,34.1,26.9,6.5,5.5,419
"WV",12.3,20.3,23,34.8,9.7,8.9,193
"WY",22.4,21.3,22.6,27,6.7,10,106
