How concerned, if at all, do you currently feel about the following: - Problems with childcare during  the virus outbreak 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",11.2,10.5,10.4,12.6,55.4,0.9,17926
"AK",13.2,18.2,10.1,7.2,51.3,13.1,104
"AL",10,6.4,11.9,20,51.7,7.1,347
"AR",14.5,14.2,7.6,8.6,55.1,7.3,295
"AZ",9.4,10.5,9.4,11.6,59.1,5.5,469
"CA",11.4,12.1,12.5,12.4,51.6,4.2,867
"CO",13.6,8.9,9.6,9.4,58.5,5.8,383
"CT",8.5,9.6,10.7,16.1,55.2,8.6,240
"DC",10.5,17.7,8.1,18.8,44.9,12.4,120
"DE",8.7,7.5,10.1,14.3,59.3,7.3,261
"FL",10.6,8.9,9.4,15.7,55.4,4.9,598
"GA",15.2,10.3,13.6,14.9,46,5.8,429
"HI",12.3,9.8,12.3,9.4,56.1,7.8,270
"IA",13.6,8.4,10.2,9.5,58.4,7.4,240
"ID",12.7,11.2,9.4,4.5,62.1,5.9,368
"IL",13.8,11.5,10.2,10.3,54.2,4.7,515
"IN",13.2,10.3,7.3,8.8,60.5,6.1,369
"KS",14.7,13.9,9.3,12.1,50.1,7.8,236
"KY",14.2,12.7,8.3,9,55.9,6.8,327
"LA",7.4,9.7,11,16.3,55.6,6.8,357
"MA",7.2,12.3,9.2,14.3,56.9,5.4,435
"MD",11,8.4,9.3,17.5,53.7,6,395
"ME",10.5,6.9,8.4,7.4,66.8,5.5,367
"MI",8.5,8.4,8.7,13.8,60.5,5.2,479
"MN",7.7,10.5,10.7,6.5,64.6,6.3,337
"MO",12,13.4,10.5,6.9,57.3,5.5,450
"MS",14.3,11.3,7.6,15.2,51.7,9.2,229
"MT",15.3,12.9,6.8,8.5,56.5,11.5,129
"NC",11.6,11,8.7,13.2,55.4,5.4,508
"ND",18.4,9,6.4,7.7,58.6,9.1,208
"NE",16,15.1,6.4,4.7,57.8,9.9,158
"NH",7.5,8.9,10.6,7.6,65.5,5.8,346
"NJ",9,7.8,8.6,13.9,60.8,4.7,521
"NM",11.7,13,9.3,14,51.9,11.3,162
"NV",10,9.6,7.6,17.3,55.5,7.5,280
"NY",10.3,8.3,12,18.2,51.2,4.7,616
"OH",12.1,10.3,10,10.6,57,5.2,472
"OK",15.4,14.5,6.4,10.2,53.5,7.4,284
"OR",10.5,10.3,8.5,8.1,62.6,5.3,410
"PA",11.1,10.3,11.1,8.3,59.2,4.5,542
"RI",11,8.2,15.7,9.9,55.2,9.1,176
"SC",9,6,11.8,11,62.3,6.2,344
"SD",10.1,12.6,12.4,9.6,55.3,9,178
"TN",14.9,10.5,9.2,13.2,52.2,5.8,390
"TX",10.3,13.1,11.8,15.6,49.3,5,616
"UT",9.4,12.2,8.9,14,55.6,8.1,272
"VA",13.4,10.3,9.8,14,52.4,5.2,453
"VT",18.4,10.6,10.2,5.9,55,8.9,163
"WA",11,12.1,12.2,11.8,52.9,5.1,492
"WI",10.8,13.4,7.4,11.4,57,5.8,419
"WV",7.6,10.5,7,15.1,59.8,9.2,193
"WY",11.2,8.9,5.6,10.2,64,10.7,107
