Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Requiring most businesses other than grocery stores and pharmacies to close 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",10.9,16.3,32.9,39.8,0.9,17972
"AK",21.8,18.2,33.3,26.8,12.4,104
"AL",12.6,17,32,38.5,6.8,353
"AR",17,22.3,35.3,25.5,7,297
"AZ",12.8,13.5,37.1,36.7,5.4,475
"CA",9,16.8,32.7,41.5,4.2,863
"CO",15.9,14.9,33.9,35.3,5.6,387
"CT",11.9,7.8,37,43.2,8.5,242
"DC",1.8,13.7,35.6,48.9,12.5,119
"DE",14.6,11.7,27.4,46.4,7.4,260
"FL",9.4,17.6,35,38,4.7,603
"GA",9.8,17.1,31.1,41.9,5.8,429
"HI",8.8,11.6,36.5,43,7.7,271
"IA",9.9,19.1,35.6,35.3,7.2,242
"ID",18.1,23.4,32.7,25.9,5.7,367
"IL",12.9,18.2,32.7,36.1,4.5,514
"IN",10.6,17.3,35.6,36.5,5.9,374
"KS",9.2,15.5,30.1,45.2,7.7,237
"KY",8.6,17.9,33.2,40.3,6.7,331
"LA",11.8,15.3,32.5,40.4,6.7,358
"MA",5.2,11.9,34.3,48.7,5.5,432
"MD",9.4,11.7,32.5,46.5,6,395
"ME",14.8,15.6,38.7,30.9,5.6,368
"MI",11.3,17.1,32,39.5,5.2,480
"MN",14.9,19,34,32.1,6.2,335
"MO",10.3,20.5,28.5,40.8,5.5,446
"MS",10.3,15.5,28.5,45.7,9.2,228
"MT",23.6,23.6,26.6,26.2,10.2,130
"NC",10.9,16.6,33.6,38.9,5.3,508
"ND",11.8,26.3,32.9,29,8.7,210
"NE",9.9,15.5,31.7,43,9.9,158
"NH",12.5,9.9,32.7,44.9,6,351
"NJ",7.3,18.8,30.2,43.6,4.7,526
"NM",15.6,19.4,35.6,29.4,10.8,162
"NV",12.3,14.8,32.9,40,7.4,281
"NY",6.1,12.8,31.6,49.5,4.7,619
"OH",14.3,17.1,33.8,34.9,5,476
"OK",18,18.1,29.7,34.3,7,286
"OR",13.1,18.8,27.2,40.9,5.4,409
"PA",14,18.5,32.1,35.4,4.4,541
"RI",4.5,15.4,32.8,47.3,9.2,177
"SC",10.8,22.9,30.7,35.6,6.1,346
"SD",13.9,17.9,37.9,30.3,8.7,178
"TN",11.7,22.3,28.6,37.4,5.6,388
"TX",7.7,15.6,32.8,43.9,4.9,617
"UT",15,19.5,33.6,31.9,7.7,272
"VA",10.3,15.7,31.3,42.7,5.1,454
"VT",8.6,16,30.8,44.6,8.9,162
"WA",12.3,14.7,34.5,38.6,5,492
"WI",13.4,20.1,33.5,33,5.5,417
"WV",8.6,10,33.5,47.9,9.3,195
"WY",18.5,22.9,33.5,25.1,10.6,107
