Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Restricting international travel to the U.S. 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",2.8,5.8,25.1,66.2,0.9,17971
"AK",5.2,14.1,30.1,50.6,13.1,104
"AL",5.5,5,21.2,68.3,6.5,353
"AR",1.7,9,26.5,62.9,7.1,295
"AZ",2.5,4.3,23.9,69.3,5.1,475
"CA",2.6,8,25.1,64.3,4.1,863
"CO",4,7.3,29.5,59.2,5.8,387
"CT",2.2,3.3,25.6,68.9,8,241
"DC",1.4,10.9,24,63.7,12,119
"DE",3,3.7,20.3,73,6.6,261
"FL",3,6.2,26.1,64.7,4.6,605
"GA",2.9,8.1,23.9,65.1,5.6,425
"HI",3.1,4.7,20.2,72,7,271
"IA",2.3,6,30.1,61.5,7.3,239
"ID",4.3,8,24.7,63,5.9,367
"IL",3.3,5.4,27.7,63.7,4.5,516
"IN",2.3,3.8,25.4,68.6,5.7,375
"KS",3.5,6.9,28.8,60.8,7.5,238
"KY",1.7,3.7,23.7,71,6.2,330
"LA",1.2,5.1,28.4,65.3,6.5,358
"MA",0.8,7.4,24.9,66.9,5.1,434
"MD",1.6,4.6,31.6,62.2,5.8,397
"ME",3.1,3.3,24.9,68.7,5.4,367
"MI",1.8,4.3,24.4,69.5,4.8,482
"MN",3.4,7.2,24.8,64.6,6.3,336
"MO",2.7,4.4,26.5,66.4,5.3,445
"MS",5.7,3.9,18.9,71.5,8.3,229
"MT",4.7,6,27.4,62,11.2,130
"NC",3.5,6.3,22.1,68.1,5.1,508
"ND",1.8,8.2,25.9,64.2,8.8,211
"NE",2.1,5.8,21,71.1,9,159
"NH",1.6,4,22.9,71.6,5.4,350
"NJ",1.7,4.3,25.5,68.5,4.4,526
"NM",6.8,10,27.7,55.5,11.2,162
"NV",4.5,5.6,22.3,67.7,7.1,279
"NY",2.1,3.8,24,70,4.3,618
"OH",5.2,5.9,24.4,64.6,5,475
"OK",4.6,4.2,28.2,62.9,7.2,286
"OR",3.1,7.5,27.9,61.6,5.3,411
"PA",3.7,3.6,24.6,68.2,4.3,539
"RI",1.1,4,27,67.8,8.7,176
"SC",3,1.9,29.3,65.8,6,345
"SD",0.3,9,24.1,66.6,8.5,177
"TN",3.7,7.6,22.4,66.2,5.5,391
"TX",1.8,4.9,27.1,66.1,4.7,618
"UT",3.5,10.1,22.5,63.9,7.8,271
"VA",2.5,4.9,21,71.5,4.7,453
"VT",3.6,5.7,22.7,68.1,8.4,162
"WA",2.2,8.7,26.1,63.1,4.9,494
"WI",3.3,5.4,29.2,62,5.7,417
"WV",3.6,3,20.9,72.4,8.4,194
"WY",1.5,7.2,26,65.3,10.6,107
