Education recoded for weighing 
"","Some high school","High School Graduate","Some College","Bachelor Degree","Graduate Degree","Error Margin","N"
"National",9,28,31.7,19.5,11.8,0.9,18103
"AK",7,29.6,35.3,17.4,10.7,12.5,104
"AL",9.6,30.9,33.9,16.6,9,6.6,356
"AR",10.3,34.3,32.8,14.6,8,6.9,297
"AZ",10.9,25.5,35.2,18.1,10.2,5.3,477
"CA",6.6,22.3,34,23.9,13.2,4,877
"CO",6.3,22.5,31.6,25.5,14.2,5.4,390
"CT",9.2,27.1,28.1,20.5,15.2,7.7,243
"DC",8,17.5,19.3,24.4,30.9,11.5,120
"DE",10,32.5,27.9,17.7,12,6.9,263
"FL",6.6,28.7,33.1,20.3,11.3,4.6,607
"GA",8.2,29.2,31.2,19.8,11.7,5.4,433
"HI",5.7,28.4,33.8,21.4,10.8,7.4,272
"IA",8.3,28.9,35.4,19.1,8.3,7.1,244
"ID",9.4,28.3,36.8,17.5,8,5.9,370
"IL",2.6,27.7,33.1,22.8,13.8,4.4,521
"IN",9.1,33.6,31.3,17.1,8.8,5.8,378
"KS",6.9,26.2,34.8,20.4,11.6,7.4,240
"KY",9.2,34.1,32.5,14.8,9.4,6.4,331
"LA",11.9,34.7,29.9,15.7,7.8,6.5,361
"MA",6.4,24.2,26.4,24.7,18.3,4.8,437
"MD",7.7,25,28.2,21.8,17.2,5.4,399
"ME",6.9,31.7,31.5,19.5,10.3,5.4,370
"MI",6,29.5,35.7,18.2,10.7,5,482
"MN",6.6,22.8,35.1,24,11.5,6.2,338
"MO",8.8,30.5,32.8,17.6,10.4,5.2,454
"MS",15.1,26.3,35.9,14.5,8.2,8.8,230
"MT",6,27.4,36.1,20.5,10,11.1,130
"NC",7.1,26.7,34.4,20.9,10.8,5.1,512
"ND",7.1,25.7,39.8,20.4,6.9,9,212
"NE",8.8,25.2,35.5,20.6,9.9,9.5,159
"NH",6.7,28.4,30.3,21.6,12.9,5.5,351
"NJ",4.6,27.2,27,26.1,15.2,4.3,529
"NM",11.7,26.3,35.5,15.3,11.2,10.8,163
"NV",9.7,29.4,36.4,16.2,8.3,7.3,282
"NY",10.7,26.5,26.9,21,15,4.2,620
"OH",6.9,33.4,31.6,17.9,10.2,4.9,479
"OK",7.8,32.1,34.7,16.8,8.5,7,288
"OR",8.5,23.1,36.6,19.9,11.8,5.3,412
"PA",2.3,36.4,28.5,20.5,12.4,4.4,545
"RI",10.6,28.9,28.7,19.3,12.6,8.3,178
"SC",9.7,30.1,32.7,17.7,9.7,5.9,347
"SD",8.6,30.6,33.6,19.2,8,8.5,178
"TN",8.4,33.1,31.6,17.4,9.6,5.5,391
"TX",12.6,26.8,31.5,19.3,9.8,4.6,621
"UT",7.2,23.5,38,21,10.2,7.9,274
"VA",5.5,25.8,30.2,22.5,16,4.7,455
"VT",5.4,29.1,29.3,22.7,13.6,8.1,163
"WA",8.3,22.8,34.5,21.9,12.6,4.8,496
"WI",4.9,30.6,34.8,19.9,9.9,5.6,420
"WV",12.4,38.4,28.6,12.9,7.6,9.1,196
"WY",5.9,27.5,40.3,16.9,9.3,10.9,108
