In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","CNN","Fox News","MSNBC","President Trump’s press briefings","Error Margin","N"
"National",34,33.3,16.9,22.3,0,2933
"AK",24.8,28,16.4,13.9,11.3,104
"AL",32.1,41,13.4,23,7,356
"AR",30.3,33.8,11.9,30.9,7,297
"AZ",32.6,39,13.3,22.3,5.5,477
"CA",40.3,27.7,19.8,22.1,4.1,877
"CO",26.3,28.2,16.1,16.5,5.4,390
"CT",36.4,36,20.2,19.3,8.6,243
"DC",57.7,47.3,13.8,19,12.4,120
"DE",30,38.8,22.3,20,7.3,263
"FL",38.2,39.2,16.8,26,4.8,607
"GA",37.9,37.6,15.9,24.1,5.7,433
"HI",39.2,28.5,14.1,14.5,7.5,272
"IA",26.7,26.3,15.3,22.6,6.8,244
"ID",24.6,28.7,12.4,17.8,5.7,370
"IL",33.3,32.1,18.5,21.1,4.4,521
"IN",26.2,30.5,12,19.4,5.8,378
"KS",33.5,30.7,14.3,25.4,7.4,240
"KY",27,30.2,15.4,26.7,6.4,331
"LA",29.3,39.3,12.6,25.1,6.7,361
"MA",38.2,29.6,15.8,22.8,5.3,437
"MD",40.2,31.5,16.4,19.3,5.9,399
"ME",27.1,26.4,16.5,20.8,5.1,370
"MI",36.1,34.6,15.4,22.3,5.2,482
"MN",28.8,28.3,15,22.1,6,338
"MO",23.1,31.7,15.2,23.6,5.2,454
"MS",27.1,37.6,14.5,25.6,9.1,230
"MT",19.8,36.8,14.6,26.2,11.6,130
"NC",31.7,38.6,15.9,26.2,5.5,512
"ND",18.7,31,16.3,30.7,9.2,212
"NE",26,30.5,11.4,20.4,9.4,159
"NH",33.1,23.8,17.1,19,5.6,351
"NJ",38.3,33.1,17.1,20.5,4.7,529
"NM",26,39,14.5,17.5,11.2,163
"NV",39.6,40.4,26.1,18.8,7.4,282
"NY",41.8,33.7,18.4,20.7,4.6,620
"OH",28.2,32.7,15.8,28,5,479
"OK",29.4,33.8,14.3,29.3,7,288
"OR",31.4,29.3,18.2,21.7,5.1,412
"PA",31.8,28.5,16.8,23.5,4.2,545
"RI",44.6,29.4,28.4,17.7,9.2,178
"SC",28.4,37.3,11.1,23.5,6.2,347
"SD",28.2,26.4,16.1,22.9,8,178
"TN",36.1,33.6,18.7,25.5,5.7,391
"TX",31.9,40.2,15.5,18.4,4.9,621
"UT",31.4,29.9,17.2,20.1,7.8,274
"VA",33.9,32.1,16.4,25.7,4.9,455
"VT",30.9,13.4,19,16.9,8.2,163
"WA",34.9,23.4,19.6,23.3,4.8,496
"WI",28.7,30.9,17.8,22.8,5.7,420
"WV",24.1,34.7,14.7,23.9,9.2,196
"WY",25.1,33.6,15.2,29.4,10.8,108
